Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6797b79ebda2f698d837ca57,66c5eb8e624ca2722eebf99d,AWAITING REVIEW,Not Applicable,2025-01-27T16:43:17.724000Z,2025-01-27T16:55:26.078000Z,,2025-01-27T16:55:26.722433Z,729,CYBX6B9B,886,English,Yes,"No, I have no issues seeing colours",42,Female,Asian,Korea,United States,United States,English,No,Full-Time
6797b7fef1f9dd4c18540c38,61255419bafa4715fb2712f6,AWAITING REVIEW,Not Applicable,2025-01-27T16:44:53.493000Z,2025-01-27T16:58:07.047000Z,,2025-01-27T16:58:08.167633Z,794,CYBX6B9B,661,English,Yes,"No, I have no issues seeing colours",44,Male,White,United States,United States,United States,English,No,Part-Time
6797b96a89c9db57d554ad05,5f9b1bd8ffa5e21886c0caa6,AWAITING REVIEW,Not Applicable,2025-01-27T16:51:19.586000Z,2025-01-27T17:13:43.899000Z,,2025-01-27T17:13:44.855151Z,1345,CYBX6B9B,902,English,Yes,"No, I have no issues seeing colours",35,Female,White,Canada,Canada,Canada,English,No,Full-Time
6797b984ba0221639b2e56dd,5ca65b7555c8480016f2856f,AWAITING REVIEW,Not Applicable,2025-01-27T16:51:23.403000Z,2025-01-27T17:05:04.129000Z,,2025-01-27T17:06:24.918903Z,821,CYBX6B9B,145,English,Yes,"No, I have no issues seeing colours",37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6797b9880530125009b9acc9,65ef950203e4e8448c55e54c,AWAITING REVIEW,Not Applicable,2025-01-27T16:51:43.939000Z,2025-01-27T17:06:50.513000Z,,2025-01-27T17:07:30.408731Z,907,CYBX6B9B,456,English,Yes,"No, I have no issues seeing colours",48,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6797b99dd94f24ea3b18d6dc,6666ba125db0a998cebcc538,AWAITING REVIEW,Not Applicable,2025-01-27T16:52:20.436000Z,2025-01-27T17:06:26.461000Z,,2025-01-27T17:07:14.683539Z,847,CYBX6B9B,405,English,Yes,"No, I have no issues seeing colours",51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6797b9cd7cbe51248be6e9dd,656d2042d97ccb36012973b8,AWAITING REVIEW,Not Applicable,2025-01-27T16:54:29.453000Z,2025-01-27T17:11:22.278000Z,,2025-01-27T17:11:22.956754Z,1013,CYBX6B9B,150,"English, French",Yes,"No, I have no issues seeing colours",24,Female,White,Canada,Canada,Canada,French,DATA_EXPIRED,DATA_EXPIRED
6797baa3bc279f73b9f612f0,5f4183ee48465a339d3dc81d,AWAITING REVIEW,Not Applicable,2025-01-27T16:56:14.362000Z,2025-01-27T17:09:01.025000Z,,2025-01-27T17:09:01.969265Z,767,CYBX6B9B,1615,English,Yes,"No, I have no issues seeing colours",24,Female,White,United States,United Kingdom,United States,English,Yes,Full-Time
6797bb6fe11610e64b2d03b5,59136492bfce7c0001aea83d,AWAITING REVIEW,Not Applicable,2025-01-27T16:59:31.810000Z,2025-01-27T17:14:49.778000Z,,2025-01-27T17:14:50.520640Z,918,CYBX6B9B,2101,English,Yes,"No, I have no issues seeing colours",54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6797bd0efb66445221c73054,5deadb731aaabf212ed16016,AWAITING REVIEW,Not Applicable,2025-01-27T17:06:32.339000Z,2025-01-27T17:19:24.698000Z,,2025-01-27T17:20:15.739836Z,773,CYBX6B9B,3301,English,Yes,"No, I have no issues seeing colours",37,Male,White,United States,United States,Ireland,English,No,Full-Time
6797bd14695dde79f1bce7e4,5c41e9263be7b70001fcf4ab,AWAITING REVIEW,Not Applicable,2025-01-27T17:06:28.321000Z,2025-01-27T17:20:08.366000Z,,2025-01-27T17:20:34.125288Z,821,CYBX6B9B,1832,English,Yes,"No, I have no issues seeing colours",46,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
6797bd339696fdacd82906a9,5d7f74f4ed58b60016490887,AWAITING REVIEW,Not Applicable,2025-01-27T17:06:59.716000Z,2025-01-27T17:21:23.448000Z,,2025-01-27T17:21:24.487234Z,864,CYBX6B9B,592,English,Yes,"No, I have no issues seeing colours",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
