frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,2,red,268,T6A
1,0,0,1,2,red,268,T6A
2,0,0,1,2,red,268,T6A
3,0,0,1,2,red,268,T6A
4,0,0,1,2,red,268,T6A
5,0,0,1,2,red,268,T6A
6,0,0,1,2,red,268,T6A
7,0,0,1,2,red,268,T6A
8,0,0,1,2,red,268,T6A
9,0,0,1,2,red,268,T6A
10,0,0,1,2,red,268,T6A
11,0,0,1,2,red,268,T6A
12,0,0,1,2,red,268,T6A
13,0,0,1,2,red,268,T6A
14,0,0,1,2,red,268,T6A
15,0,0,1,2,red,268,T6A
16,0,0,1,2,red,268,T6A
17,0,0,1,2,red,268,T6A
18,0,0,1,2,red,268,T6A
19,0,0,1,2,red,268,T6A
20,0,0,1,2,red,268,T6A
21,0,0,1,2,red,268,T6A
22,0,0,1,2,red,268,T6A
23,0,0,1,2,red,268,T6A
24,0,0,1,2,red,268,T6A
25,0,0,1,2,red,268,T6A
26,0,0,1,2,red,268,T6A
27,0,0,1,2,red,268,T6A
28,0,0,1,2,red,268,T6A
29,0,0,1,2,red,268,T6A
30,0,0,1,2,red,268,T6A
31,0,0,1,2,red,268,T6A
32,0,0,1,2,red,268,T6A
33,0,0,1,2,red,268,T6A
34,0,0,1,2,red,268,T6A
35,0,0,1,2,red,268,T6A
36,0,0,1,2,red,268,T6A
37,0,0,1,2,red,268,T6A
38,0,0,1,2,red,268,T6A
39,0,0,1,2,red,268,T6A
40,0,0,1,2,red,268,T6A
41,0,0,1,2,red,268,T6A
42,0,0,1,2,red,268,T6A
43,0,0,1,2,red,268,T6A
44,0,0,1,2,red,268,T6A
45,0,0,1,2,red,268,T6A
46,0,0,1,2,red,268,T6A
47,0,0,1,2,red,268,T6A
48,0,0,1,2,red,268,T6A
49,0,0,1,2,red,268,T6A
50,0,0,1,2,red,268,T6A
51,0,0,1,2,red,268,T6A
52,0,0,1,2,red,268,T6A
53,0,0,1,2,red,268,T6A
54,0,0,1,2,red,268,T6A
55,0,0,1,2,red,268,T6A
56,0,0,1,2,red,268,T6A
57,0,0,1,2,red,268,T6A
58,0,0,1,2,red,268,T6A
59,0,0,1,2,red,268,T6A
60,0,0,1,2,red,268,T6A
61,0,0,1,2,red,268,T6A
62,0,0,1,2,red,268,T6A
63,0,0,1,2,red,268,T6A
64,0,0,1,2,red,268,T6A
65,0,1,0,2,red,268,T6A
66,0,1,0,2,red,268,T6A
67,0,1,0,2,red,268,T6A
68,0,1,0,2,red,268,T6A
69,0,1,0,2,red,268,T6A
70,0,1,0,2,red,268,T6A
71,0,1,0,2,red,268,T6A
72,0,1,0,2,red,268,T6A
73,0,1,0,2,red,268,T6A
74,0,1,0,2,red,268,T6A
75,0,1,0,2,red,268,T6A
76,0,1,0,2,red,268,T6A
77,0,1,0,2,red,268,T6A
78,0,1,0,2,red,268,T6A
79,0,1,0,2,red,268,T6A
80,0,1,0,2,red,268,T6A
81,0,1,0,2,red,268,T6A
82,0,1,0,2,red,268,T6A
83,0,1,0,2,red,268,T6A
84,0,1,0,2,red,268,T6A
85,0,1,0,2,red,268,T6A
86,0,1,0,2,red,268,T6A
87,0,1,0,2,red,268,T6A
88,0,1,0,2,red,268,T6A
89,0,1,0,2,red,268,T6A
90,0,1,0,2,red,268,T6A
91,0,1,0,2,red,268,T6A
92,0,1,0,2,red,268,T6A
93,0,1,0,2,red,268,T6A
94,0,1,0,2,red,268,T6A
95,0,1,0,2,red,268,T6A
96,0,1,0,2,red,268,T6A
97,0,1,0,2,red,268,T6A
98,0,1,0,2,red,268,T6A
99,0,1,0,2,red,268,T6A
100,0,1,0,2,red,268,T6A
101,0,1,0,2,red,268,T6A
102,0,1,0,2,red,268,T6A
103,0,1,0,2,red,268,T6A
104,0,1,0,2,red,268,T6A
105,0,0,1,2,red,268,T6A
106,0,0,1,2,red,268,T6A
107,0,0,1,2,red,268,T6A
108,1,0,0,2,red,268,T6A
109,1,0,0,2,red,268,T6A
110,1,0,0,2,red,268,T6A
