frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,2,red,371,T8B
1,0,0,1,2,red,371,T8B
2,0,0,1,2,red,371,T8B
3,0,0,1,2,red,371,T8B
4,0,0,1,2,red,371,T8B
5,0,0,1,2,red,371,T8B
6,0,0,1,2,red,371,T8B
7,0,0,1,2,red,371,T8B
8,0,0,1,2,red,371,T8B
9,0,0,1,2,red,371,T8B
10,0,0,1,2,red,371,T8B
11,0,0,1,2,red,371,T8B
12,0,0,1,2,red,371,T8B
13,0,0,1,2,red,371,T8B
14,0,0,1,2,red,371,T8B
15,0,0,1,2,red,371,T8B
16,0,0,1,2,red,371,T8B
17,0,0,1,2,red,371,T8B
18,0,0,1,2,red,371,T8B
19,0,0,1,2,red,371,T8B
20,0,0,1,2,red,371,T8B
21,0,0,1,2,red,371,T8B
22,0,0,1,2,red,371,T8B
23,0,0,1,2,red,371,T8B
24,0,0,1,2,red,371,T8B
25,0,0,1,2,red,371,T8B
26,0,0,1,2,red,371,T8B
27,0,0,1,2,red,371,T8B
28,0,0,1,2,red,371,T8B
29,0,0,1,2,red,371,T8B
30,0,0,1,2,red,371,T8B
31,0,0,1,2,red,371,T8B
32,0,0,1,2,red,371,T8B
33,0,0,1,2,red,371,T8B
34,0,0,1,2,red,371,T8B
35,0,0,1,2,red,371,T8B
36,0,0,1,2,red,371,T8B
37,0,0,1,2,red,371,T8B
38,0,0,1,2,red,371,T8B
39,0,0,1,2,red,371,T8B
40,0,0,1,2,red,371,T8B
41,0,0,1,2,red,371,T8B
42,0,0,1,2,red,371,T8B
43,0,0,1,2,red,371,T8B
44,0,0,1,2,red,371,T8B
45,0,0,1,2,red,371,T8B
46,0,0,1,2,red,371,T8B
47,0,0,1,2,red,371,T8B
48,0,0,1,2,red,371,T8B
49,0,0,1,2,red,371,T8B
50,0,0,1,2,red,371,T8B
51,0,0,1,2,red,371,T8B
52,0,0,1,2,red,371,T8B
53,0,0,1,2,red,371,T8B
54,0,0,1,2,red,371,T8B
55,0,0,1,2,red,371,T8B
56,0,0,1,2,red,371,T8B
57,0,0,1,2,red,371,T8B
58,0,0,1,2,red,371,T8B
59,0,0,1,2,red,371,T8B
60,0,0,1,2,red,371,T8B
61,0,0,1,2,red,371,T8B
62,0,0,1,2,red,371,T8B
63,0,0,1,2,red,371,T8B
