trial_name,label
T1A,Initial Direction
T1B,Initial Direction
T1C,Initial Direction
T1D,Initial Direction
T2A,Initial Direction
T2B,Initial Direction
T2C,Initial Direction
T2D,Initial Direction
T3A,Initial Direction
T3B,Initial Direction
T3C,Initial Direction
T3D,Initial Direction
T4A,Path Visibililty
T4B,Path Visibililty
T4C,Path Visibililty
T4D,Path Visibililty
T4E,Path Visibililty
T4F,Path Visibililty
T5A,Path Visibililty
T5B,Path Visibililty
T5C,Path Visibililty
T5D,Path Visibililty
T5E,Path Visibililty
T5F,Path Visibililty
T6A,Occlusion Window
T6B,Occlusion Window
T6C,Occlusion Window
T6D,Occlusion Window
T7A,Occlusion Window
T7B,Occlusion Window
T7C,Occlusion Window
T7D,Occlusion Window
T8A,Occlusion Window
T8B,Occlusion Window
T8C,Occlusion Window
T8D,Occlusion Window
T9,Practice Effects
T10,Practice Effects
T11,Practice Effects
T30,Catch
T31,Catch
T32,Catch
T33,Catch
T34,Catch
