frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,168,red,2052,T7A
1,0,0,1,168,red,2052,T7A
2,0,0,1,168,red,2052,T7A
3,0,0,1,168,red,2052,T7A
4,0,0,1,168,red,2052,T7A
5,0,0,1,168,red,2052,T7A
6,0,0,1,168,red,2052,T7A
7,0,0,1,168,red,2052,T7A
8,0,0,1,168,red,2052,T7A
9,0,0,1,168,red,2052,T7A
10,0,0,1,168,red,2052,T7A
11,0,0,1,168,red,2052,T7A
12,0,0,1,168,red,2052,T7A
13,0,0,1,168,red,2052,T7A
14,0,0,1,168,red,2052,T7A
15,0,0,1,168,red,2052,T7A
16,0,0,1,168,red,2052,T7A
17,0,0,1,168,red,2052,T7A
18,0,0,1,168,red,2052,T7A
19,0,0,1,168,red,2052,T7A
20,0,0,1,168,red,2052,T7A
21,0,0,1,168,red,2052,T7A
22,0,0,1,168,red,2052,T7A
23,0,0,1,168,red,2052,T7A
24,0,0,1,168,red,2052,T7A
25,0,0,1,168,red,2052,T7A
26,0,0,1,168,red,2052,T7A
27,0,0,1,168,red,2052,T7A
28,0,0,1,168,red,2052,T7A
29,0,0,1,168,red,2052,T7A
30,0,0,1,168,red,2052,T7A
31,0,0,1,168,red,2052,T7A
32,0,0,1,168,red,2052,T7A
33,0,0,1,168,red,2052,T7A
34,0,0,1,168,red,2052,T7A
35,0,0,1,168,red,2052,T7A
36,0,0,1,168,red,2052,T7A
37,0,0,1,168,red,2052,T7A
38,0,0,1,168,red,2052,T7A
39,0,0,1,168,red,2052,T7A
40,0,0,1,168,red,2052,T7A
41,0,0,1,168,red,2052,T7A
42,0,0,1,168,red,2052,T7A
43,0,0,1,168,red,2052,T7A
44,0,0,1,168,red,2052,T7A
45,0,0,1,168,red,2052,T7A
46,0,0,1,168,red,2052,T7A
47,0,0,1,168,red,2052,T7A
48,0,0,1,168,red,2052,T7A
49,0,0,1,168,red,2052,T7A
50,0,0,1,168,red,2052,T7A
51,0,0,1,168,red,2052,T7A
52,0,0,1,168,red,2052,T7A
53,0,1,0,168,red,2052,T7A
54,0,1,0,168,red,2052,T7A
55,0,1,0,168,red,2052,T7A
56,0,1,0,168,red,2052,T7A
57,0,1,0,168,red,2052,T7A
58,0,1,0,168,red,2052,T7A
59,0,1,0,168,red,2052,T7A
60,0,1,0,168,red,2052,T7A
61,0,1,0,168,red,2052,T7A
62,0,1,0,168,red,2052,T7A
63,0,1,0,168,red,2052,T7A
64,0,1,0,168,red,2052,T7A
65,0,1,0,168,red,2052,T7A
66,0,1,0,168,red,2052,T7A
67,0,1,0,168,red,2052,T7A
68,0,1,0,168,red,2052,T7A
69,0,1,0,168,red,2052,T7A
70,0,1,0,168,red,2052,T7A
71,0,1,0,168,red,2052,T7A
72,0,1,0,168,red,2052,T7A
73,0,1,0,168,red,2052,T7A
74,0,1,0,168,red,2052,T7A
75,0,1,0,168,red,2052,T7A
76,0,1,0,168,red,2052,T7A
77,0,1,0,168,red,2052,T7A
78,0,1,0,168,red,2052,T7A
79,0,1,0,168,red,2052,T7A
80,0,1,0,168,red,2052,T7A
81,0,1,0,168,red,2052,T7A
82,0,1,0,168,red,2052,T7A
83,0,1,0,168,red,2052,T7A
84,0,1,0,168,red,2052,T7A
85,0,1,0,168,red,2052,T7A
86,0,1,0,168,red,2052,T7A
87,0,1,0,168,red,2052,T7A
88,0,1,0,168,red,2052,T7A
89,0,1,0,168,red,2052,T7A
90,0,1,0,168,red,2052,T7A
91,0,1,0,168,red,2052,T7A
92,0,1,0,168,red,2052,T7A
93,0,1,0,168,red,2052,T7A
94,0,1,0,168,red,2052,T7A
95,0,1,0,168,red,2052,T7A
96,0,1,0,168,red,2052,T7A
97,0,1,0,168,red,2052,T7A
98,0,1,0,168,red,2052,T7A
99,0,1,0,168,red,2052,T7A
100,0,1,0,168,red,2052,T7A
101,0,1,0,168,red,2052,T7A
102,0,1,0,168,red,2052,T7A
103,0,1,0,168,red,2052,T7A
104,0,1,0,168,red,2052,T7A
105,0,1,0,168,red,2052,T7A
106,0,1,0,168,red,2052,T7A
107,0,1,0,168,red,2052,T7A
108,0,1,0,168,red,2052,T7A
109,0,1,0,168,red,2052,T7A
110,0,1,0,168,red,2052,T7A
111,0,1,0,168,red,2052,T7A
112,0,1,0,168,red,2052,T7A
113,0,1,0,168,red,2052,T7A
114,0,1,0,168,red,2052,T7A
115,0,1,0,168,red,2052,T7A
116,0,1,0,168,red,2052,T7A
117,0,1,0,168,red,2052,T7A
118,0,1,0,168,red,2052,T7A
119,0,1,0,168,red,2052,T7A
120,0,1,0,168,red,2052,T7A
121,0,1,0,168,red,2052,T7A
122,0,1,0,168,red,2052,T7A
123,0,1,0,168,red,2052,T7A
124,0,1,0,168,red,2052,T7A
125,0,1,0,168,red,2052,T7A
126,0,1,0,168,red,2052,T7A
127,0,1,0,168,red,2052,T7A
128,0,1,0,168,red,2052,T7A
129,0,1,0,168,red,2052,T7A
130,0,1,0,168,red,2052,T7A
131,0,1,0,168,red,2052,T7A
132,0,1,0,168,red,2052,T7A
133,0,1,0,168,red,2052,T7A
134,0,1,0,168,red,2052,T7A
135,0,1,0,168,red,2052,T7A
136,0,1,0,168,red,2052,T7A
137,0,1,0,168,red,2052,T7A
138,0,1,0,168,red,2052,T7A
139,0,1,0,168,red,2052,T7A
140,0,1,0,168,red,2052,T7A
141,0,1,0,168,red,2052,T7A
142,0,1,0,168,red,2052,T7A
143,0,1,0,168,red,2052,T7A
144,0,1,0,168,red,2052,T7A
145,0,1,0,168,red,2052,T7A
146,0,1,0,168,red,2052,T7A
147,0,1,0,168,red,2052,T7A
148,0,1,0,168,red,2052,T7A
149,0,1,0,168,red,2052,T7A
150,0,1,0,168,red,2052,T7A
151,0,1,0,168,red,2052,T7A
152,0,1,0,168,red,2052,T7A
153,0,0,1,168,red,2052,T7A
154,1,0,0,168,red,2052,T7A
155,1,0,0,168,red,2052,T7A
156,1,0,0,168,red,2052,T7A
157,1,0,0,168,red,2052,T7A
158,1,0,0,168,red,2052,T7A
159,1,0,0,168,red,2052,T7A
160,1,0,0,168,red,2052,T7A
161,1,0,0,168,red,2052,T7A
162,1,0,0,168,red,2052,T7A
163,1,0,0,168,red,2052,T7A
164,1,0,0,168,red,2052,T7A
165,1,0,0,168,red,2052,T7A
166,1,0,0,168,red,2052,T7A
167,1,0,0,168,red,2052,T7A
168,1,0,0,168,red,2052,T7A
169,1,0,0,168,red,2052,T7A
170,1,0,0,168,red,2052,T7A
171,1,0,0,168,red,2052,T7A
172,1,0,0,168,red,2052,T7A
173,1,0,0,168,red,2052,T7A
174,1,0,0,168,red,2052,T7A
175,1,0,0,168,red,2052,T7A
176,1,0,0,168,red,2052,T7A
177,1,0,0,168,red,2052,T7A
178,1,0,0,168,red,2052,T7A
179,1,0,0,168,red,2052,T7A
180,1,0,0,168,red,2052,T7A
181,1,0,0,168,red,2052,T7A
182,1,0,0,168,red,2052,T7A
183,1,0,0,168,red,2052,T7A
184,1,0,0,168,red,2052,T7A
185,1,0,0,168,red,2052,T7A
186,1,0,0,168,red,2052,T7A
187,1,0,0,168,red,2052,T7A
188,1,0,0,168,red,2052,T7A
189,1,0,0,168,red,2052,T7A
190,1,0,0,168,red,2052,T7A
191,1,0,0,168,red,2052,T7A
192,1,0,0,168,red,2052,T7A
193,0,0,1,168,red,2052,T7A
194,0,0,1,168,red,2052,T7A
195,0,0,1,168,red,2052,T7A
196,0,0,1,168,red,2052,T7A
