frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,168,green,1817,T8C
1,0,0,1,168,green,1817,T8C
2,0,0,1,168,green,1817,T8C
3,0,0,1,168,green,1817,T8C
4,0,0,1,168,green,1817,T8C
5,0,0,1,168,green,1817,T8C
6,0,0,1,168,green,1817,T8C
7,0,0,1,168,green,1817,T8C
8,0,0,1,168,green,1817,T8C
9,0,0,1,168,green,1817,T8C
10,0,0,1,168,green,1817,T8C
11,0,0,1,168,green,1817,T8C
12,0,0,1,168,green,1817,T8C
13,0,0,1,168,green,1817,T8C
14,0,0,1,168,green,1817,T8C
15,0,0,1,168,green,1817,T8C
16,0,0,1,168,green,1817,T8C
17,0,0,1,168,green,1817,T8C
18,0,0,1,168,green,1817,T8C
19,0,0,1,168,green,1817,T8C
20,0,0,1,168,green,1817,T8C
21,0,0,1,168,green,1817,T8C
22,0,0,1,168,green,1817,T8C
23,0,0,1,168,green,1817,T8C
24,0,0,1,168,green,1817,T8C
25,0,0,1,168,green,1817,T8C
26,0,0,1,168,green,1817,T8C
27,0,0,1,168,green,1817,T8C
28,0,0,1,168,green,1817,T8C
29,0,0,1,168,green,1817,T8C
30,0,0,1,168,green,1817,T8C
31,0,0,1,168,green,1817,T8C
32,0,0,1,168,green,1817,T8C
33,0,0,1,168,green,1817,T8C
34,0,0,1,168,green,1817,T8C
35,0,0,1,168,green,1817,T8C
36,0,0,1,168,green,1817,T8C
37,0,0,1,168,green,1817,T8C
38,0,0,1,168,green,1817,T8C
39,0,0,1,168,green,1817,T8C
40,0,0,1,168,green,1817,T8C
41,0,1,0,168,green,1817,T8C
42,0,1,0,168,green,1817,T8C
43,0,1,0,168,green,1817,T8C
44,0,1,0,168,green,1817,T8C
45,0,1,0,168,green,1817,T8C
46,0,1,0,168,green,1817,T8C
47,0,1,0,168,green,1817,T8C
48,0,1,0,168,green,1817,T8C
49,0,1,0,168,green,1817,T8C
50,0,1,0,168,green,1817,T8C
51,0,1,0,168,green,1817,T8C
52,0,1,0,168,green,1817,T8C
53,0,1,0,168,green,1817,T8C
54,0,1,0,168,green,1817,T8C
55,0,1,0,168,green,1817,T8C
56,0,1,0,168,green,1817,T8C
57,0,1,0,168,green,1817,T8C
58,0,1,0,168,green,1817,T8C
59,0,1,0,168,green,1817,T8C
60,0,1,0,168,green,1817,T8C
61,0,1,0,168,green,1817,T8C
62,0,1,0,168,green,1817,T8C
63,0,1,0,168,green,1817,T8C
64,0,1,0,168,green,1817,T8C
65,0,1,0,168,green,1817,T8C
66,0,1,0,168,green,1817,T8C
67,0,1,0,168,green,1817,T8C
68,0,1,0,168,green,1817,T8C
69,0,1,0,168,green,1817,T8C
70,0,1,0,168,green,1817,T8C
71,0,1,0,168,green,1817,T8C
72,0,1,0,168,green,1817,T8C
73,0,1,0,168,green,1817,T8C
74,0,1,0,168,green,1817,T8C
75,0,1,0,168,green,1817,T8C
76,0,1,0,168,green,1817,T8C
77,0,1,0,168,green,1817,T8C
78,0,1,0,168,green,1817,T8C
79,0,1,0,168,green,1817,T8C
80,0,1,0,168,green,1817,T8C
81,0,1,0,168,green,1817,T8C
82,0,1,0,168,green,1817,T8C
83,0,1,0,168,green,1817,T8C
84,0,1,0,168,green,1817,T8C
85,0,1,0,168,green,1817,T8C
86,0,1,0,168,green,1817,T8C
87,0,1,0,168,green,1817,T8C
88,0,1,0,168,green,1817,T8C
89,0,1,0,168,green,1817,T8C
