frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,4,red,185,T1B
1,0,0,1,4,red,185,T1B
2,0,0,1,4,red,185,T1B
3,0,0,1,4,red,185,T1B
4,0,0,1,4,red,185,T1B
5,0,0,1,4,red,185,T1B
6,0,0,1,4,red,185,T1B
7,0,0,1,4,red,185,T1B
8,0,0,1,4,red,185,T1B
9,0,0,1,4,red,185,T1B
10,0,0,1,4,red,185,T1B
11,0,0,1,4,red,185,T1B
12,0,0,1,4,red,185,T1B
13,0,0,1,4,red,185,T1B
14,0,0,1,4,red,185,T1B
15,0,0,1,4,red,185,T1B
16,0,0,1,4,red,185,T1B
17,0,0,1,4,red,185,T1B
18,0,0,1,4,red,185,T1B
19,0,0,1,4,red,185,T1B
20,0,0,1,4,red,185,T1B
21,0,0,1,4,red,185,T1B
22,0,0,1,4,red,185,T1B
23,0,0,1,4,red,185,T1B
24,0,0,1,4,red,185,T1B
25,0,0,1,4,red,185,T1B
26,0,0,1,4,red,185,T1B
27,0,0,1,4,red,185,T1B
28,0,0,1,4,red,185,T1B
29,0,0,1,4,red,185,T1B
30,0,0,1,4,red,185,T1B
31,0,0,1,4,red,185,T1B
32,0,0,1,4,red,185,T1B
33,0,0,1,4,red,185,T1B
34,0,0,1,4,red,185,T1B
35,0,0,1,4,red,185,T1B
36,0,0,1,4,red,185,T1B
37,0,0,1,4,red,185,T1B
38,0,0,1,4,red,185,T1B
39,0,0,1,4,red,185,T1B
40,0,0,1,4,red,185,T1B
41,0,0,1,4,red,185,T1B
42,0,0,1,4,red,185,T1B
43,0,0,1,4,red,185,T1B
44,0,0,1,4,red,185,T1B
45,0,0,1,4,red,185,T1B
46,0,0,1,4,red,185,T1B
47,0,0,1,4,red,185,T1B
48,0,0,1,4,red,185,T1B
49,0,0,1,4,red,185,T1B
50,0,0,1,4,red,185,T1B
51,0,0,1,4,red,185,T1B
52,0,0,1,4,red,185,T1B
53,0,0,1,4,red,185,T1B
54,0,0,1,4,red,185,T1B
55,0,0,1,4,red,185,T1B
56,0,0,1,4,red,185,T1B
57,0,0,1,4,red,185,T1B
58,0,0,1,4,red,185,T1B
59,0,0,1,4,red,185,T1B
60,0,1,0,4,red,185,T1B
61,0,1,0,4,red,185,T1B
62,0,1,0,4,red,185,T1B
63,0,1,0,4,red,185,T1B
64,0,1,0,4,red,185,T1B
65,0,1,0,4,red,185,T1B
66,0,1,0,4,red,185,T1B
67,0,1,0,4,red,185,T1B
68,0,1,0,4,red,185,T1B
69,0,1,0,4,red,185,T1B
70,0,1,0,4,red,185,T1B
71,0,1,0,4,red,185,T1B
72,0,1,0,4,red,185,T1B
73,0,1,0,4,red,185,T1B
74,0,1,0,4,red,185,T1B
75,0,1,0,4,red,185,T1B
76,0,1,0,4,red,185,T1B
77,0,1,0,4,red,185,T1B
78,0,1,0,4,red,185,T1B
79,0,1,0,4,red,185,T1B
80,0,1,0,4,red,185,T1B
81,0,1,0,4,red,185,T1B
82,0,1,0,4,red,185,T1B
83,0,1,0,4,red,185,T1B
84,0,1,0,4,red,185,T1B
85,0,1,0,4,red,185,T1B
86,0,1,0,4,red,185,T1B
87,0,1,0,4,red,185,T1B
88,0,1,0,4,red,185,T1B
89,0,1,0,4,red,185,T1B
90,0,1,0,4,red,185,T1B
91,0,1,0,4,red,185,T1B
92,0,1,0,4,red,185,T1B
93,0,1,0,4,red,185,T1B
94,0,1,0,4,red,185,T1B
95,0,1,0,4,red,185,T1B
96,0,1,0,4,red,185,T1B
97,0,1,0,4,red,185,T1B
98,0,1,0,4,red,185,T1B
99,0,1,0,4,red,185,T1B
100,0,1,0,4,red,185,T1B
101,0,1,0,4,red,185,T1B
102,0,1,0,4,red,185,T1B
103,0,1,0,4,red,185,T1B
104,0,1,0,4,red,185,T1B
105,0,1,0,4,red,185,T1B
106,0,1,0,4,red,185,T1B
107,0,1,0,4,red,185,T1B
108,0,1,0,4,red,185,T1B
109,0,1,0,4,red,185,T1B
110,0,1,0,4,red,185,T1B
111,0,1,0,4,red,185,T1B
112,0,1,0,4,red,185,T1B
113,0,1,0,4,red,185,T1B
114,0,1,0,4,red,185,T1B
115,0,1,0,4,red,185,T1B
