frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,4,green,254,T21
1,0,0,1,4,green,254,T21
2,0,0,1,4,green,254,T21
3,0,0,1,4,green,254,T21
4,0,0,1,4,green,254,T21
5,0,0,1,4,green,254,T21
6,0,0,1,4,green,254,T21
7,0,0,1,4,green,254,T21
8,0,0,1,4,green,254,T21
9,0,0,1,4,green,254,T21
10,0,0,1,4,green,254,T21
11,0,0,1,4,green,254,T21
12,0,0,1,4,green,254,T21
13,0,0,1,4,green,254,T21
14,0,0,1,4,green,254,T21
15,0,0,1,4,green,254,T21
16,0,0,1,4,green,254,T21
17,0,0,1,4,green,254,T21
18,0,0,1,4,green,254,T21
19,0,0,1,4,green,254,T21
20,0,0,1,4,green,254,T21
21,0,0,1,4,green,254,T21
22,0,0,1,4,green,254,T21
23,0,0,1,4,green,254,T21
24,0,0,1,4,green,254,T21
25,0,0,1,4,green,254,T21
26,0,0,1,4,green,254,T21
27,0,0,1,4,green,254,T21
28,0,0,1,4,green,254,T21
29,0,0,1,4,green,254,T21
30,0,0,1,4,green,254,T21
31,0,0,1,4,green,254,T21
32,0,0,1,4,green,254,T21
33,0,0,1,4,green,254,T21
34,0,0,1,4,green,254,T21
35,0,0,1,4,green,254,T21
36,0,0,1,4,green,254,T21
37,0,0,1,4,green,254,T21
38,0,0,1,4,green,254,T21
39,0,0,1,4,green,254,T21
40,0,0,1,4,green,254,T21
41,0,0,1,4,green,254,T21
42,0,0,1,4,green,254,T21
43,0,0,1,4,green,254,T21
44,0,0,1,4,green,254,T21
45,0,0,1,4,green,254,T21
46,0,0,1,4,green,254,T21
47,0,0,1,4,green,254,T21
48,0,0,1,4,green,254,T21
49,0,0,1,4,green,254,T21
50,0,0,1,4,green,254,T21
51,0,0,1,4,green,254,T21
52,0,0,1,4,green,254,T21
53,0,0,1,4,green,254,T21
54,0,0,1,4,green,254,T21
55,0,0,1,4,green,254,T21
56,0,0,1,4,green,254,T21
57,0,0,1,4,green,254,T21
58,0,0,1,4,green,254,T21
59,0,0,1,4,green,254,T21
60,0,1,0,4,green,254,T21
61,0,1,0,4,green,254,T21
62,0,1,0,4,green,254,T21
63,0,1,0,4,green,254,T21
64,0,1,0,4,green,254,T21
65,0,1,0,4,green,254,T21
66,0,1,0,4,green,254,T21
67,0,1,0,4,green,254,T21
68,0,1,0,4,green,254,T21
69,0,1,0,4,green,254,T21
70,0,1,0,4,green,254,T21
71,0,1,0,4,green,254,T21
72,0,1,0,4,green,254,T21
73,0,1,0,4,green,254,T21
74,0,1,0,4,green,254,T21
75,0,1,0,4,green,254,T21
76,0,1,0,4,green,254,T21
77,0,1,0,4,green,254,T21
78,0,1,0,4,green,254,T21
79,0,1,0,4,green,254,T21
0,0,0,1,5,green,278,T21
1,0,0,1,5,green,278,T21
2,0,0,1,5,green,278,T21
3,0,0,1,5,green,278,T21
4,0,0,1,5,green,278,T21
5,0,0,1,5,green,278,T21
6,0,0,1,5,green,278,T21
7,0,0,1,5,green,278,T21
8,0,0,1,5,green,278,T21
9,0,0,1,5,green,278,T21
10,0,0,1,5,green,278,T21
11,0,0,1,5,green,278,T21
12,0,0,1,5,green,278,T21
13,0,0,1,5,green,278,T21
14,0,0,1,5,green,278,T21
15,0,0,1,5,green,278,T21
16,0,0,1,5,green,278,T21
17,0,0,1,5,green,278,T21
18,0,0,1,5,green,278,T21
19,0,0,1,5,green,278,T21
20,0,0,1,5,green,278,T21
21,0,0,1,5,green,278,T21
22,0,0,1,5,green,278,T21
23,0,0,1,5,green,278,T21
24,0,0,1,5,green,278,T21
25,0,0,1,5,green,278,T21
26,0,0,1,5,green,278,T21
27,0,0,1,5,green,278,T21
28,0,0,1,5,green,278,T21
29,0,1,0,5,green,278,T21
30,0,1,0,5,green,278,T21
31,0,0,1,5,green,278,T21
32,0,0,1,5,green,278,T21
33,0,0,1,5,green,278,T21
34,0,0,1,5,green,278,T21
35,0,0,1,5,green,278,T21
36,0,1,0,5,green,278,T21
37,0,1,0,5,green,278,T21
38,0,1,0,5,green,278,T21
39,0,1,0,5,green,278,T21
40,0,0,1,5,green,278,T21
41,0,0,1,5,green,278,T21
42,0,0,1,5,green,278,T21
43,0,1,0,5,green,278,T21
44,0,1,0,5,green,278,T21
45,0,1,0,5,green,278,T21
46,0,1,0,5,green,278,T21
47,0,1,0,5,green,278,T21
48,0,1,0,5,green,278,T21
49,0,1,0,5,green,278,T21
50,0,1,0,5,green,278,T21
51,0,1,0,5,green,278,T21
52,0,1,0,5,green,278,T21
53,0,1,0,5,green,278,T21
54,0,1,0,5,green,278,T21
55,0,1,0,5,green,278,T21
56,0,1,0,5,green,278,T21
57,0,1,0,5,green,278,T21
58,0,1,0,5,green,278,T21
59,0,1,0,5,green,278,T21
60,0,1,0,5,green,278,T21
61,0,1,0,5,green,278,T21
62,0,0,1,5,green,278,T21
63,0,0,1,5,green,278,T21
64,1,0,0,5,green,278,T21
65,1,0,0,5,green,278,T21
66,1,0,0,5,green,278,T21
67,1,0,0,5,green,278,T21
68,1,0,0,5,green,278,T21
69,1,0,0,5,green,278,T21
70,1,0,0,5,green,278,T21
71,1,0,0,5,green,278,T21
72,1,0,0,5,green,278,T21
73,1,0,0,5,green,278,T21
74,1,0,0,5,green,278,T21
75,1,0,0,5,green,278,T21
76,1,0,0,5,green,278,T21
77,1,0,0,5,green,278,T21
78,1,0,0,5,green,278,T21
79,1,0,0,5,green,278,T21
0,0,0,1,6,green,323,T21
1,0,0,1,6,green,323,T21
2,0,0,1,6,green,323,T21
3,0,0,1,6,green,323,T21
4,0,0,1,6,green,323,T21
5,0,0,1,6,green,323,T21
6,0,0,1,6,green,323,T21
7,0,0,1,6,green,323,T21
8,0,0,1,6,green,323,T21
9,0,0,1,6,green,323,T21
10,0,0,1,6,green,323,T21
11,0,0,1,6,green,323,T21
12,0,0,1,6,green,323,T21
13,0,0,1,6,green,323,T21
14,0,0,1,6,green,323,T21
15,0,0,1,6,green,323,T21
16,0,0,1,6,green,323,T21
17,0,0,1,6,green,323,T21
18,0,0,1,6,green,323,T21
19,0,0,1,6,green,323,T21
20,0,0,1,6,green,323,T21
21,0,0,1,6,green,323,T21
22,0,0,1,6,green,323,T21
23,0,0,1,6,green,323,T21
24,0,0,1,6,green,323,T21
25,0,0,1,6,green,323,T21
26,0,0,1,6,green,323,T21
27,0,0,1,6,green,323,T21
28,0,0,1,6,green,323,T21
