frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,4,red,209,T6E
1,0,0,1,4,red,209,T6E
2,0,0,1,4,red,209,T6E
3,0,0,1,4,red,209,T6E
4,0,0,1,4,red,209,T6E
5,0,0,1,4,red,209,T6E
6,0,0,1,4,red,209,T6E
7,0,0,1,4,red,209,T6E
8,0,0,1,4,red,209,T6E
9,0,0,1,4,red,209,T6E
10,0,0,1,4,red,209,T6E
11,0,0,1,4,red,209,T6E
12,0,0,1,4,red,209,T6E
13,0,0,1,4,red,209,T6E
14,0,0,1,4,red,209,T6E
15,0,0,1,4,red,209,T6E
16,0,0,1,4,red,209,T6E
17,0,0,1,4,red,209,T6E
18,0,0,1,4,red,209,T6E
19,0,0,1,4,red,209,T6E
20,0,0,1,4,red,209,T6E
21,0,0,1,4,red,209,T6E
22,0,0,1,4,red,209,T6E
23,0,0,1,4,red,209,T6E
24,0,0,1,4,red,209,T6E
25,0,0,1,4,red,209,T6E
26,0,0,1,4,red,209,T6E
27,0,0,1,4,red,209,T6E
28,0,0,1,4,red,209,T6E
29,0,0,1,4,red,209,T6E
30,0,0,1,4,red,209,T6E
31,0,0,1,4,red,209,T6E
32,0,1,0,4,red,209,T6E
33,0,1,0,4,red,209,T6E
34,0,1,0,4,red,209,T6E
35,0,1,0,4,red,209,T6E
36,0,1,0,4,red,209,T6E
37,0,1,0,4,red,209,T6E
38,0,1,0,4,red,209,T6E
39,0,1,0,4,red,209,T6E
40,0,1,0,4,red,209,T6E
41,0,1,0,4,red,209,T6E
42,0,1,0,4,red,209,T6E
43,0,1,0,4,red,209,T6E
44,0,0,1,4,red,209,T6E
45,0,0,1,4,red,209,T6E
46,0,0,1,4,red,209,T6E
47,0,0,1,4,red,209,T6E
48,0,0,1,4,red,209,T6E
49,0,0,1,4,red,209,T6E
50,0,0,1,4,red,209,T6E
51,0,0,1,4,red,209,T6E
52,0,0,1,4,red,209,T6E
53,1,0,0,4,red,209,T6E
54,1,0,0,4,red,209,T6E
55,1,0,0,4,red,209,T6E
56,1,0,0,4,red,209,T6E
57,1,0,0,4,red,209,T6E
58,1,0,0,4,red,209,T6E
59,1,0,0,4,red,209,T6E
60,1,0,0,4,red,209,T6E
61,0,0,1,4,red,209,T6E
62,0,0,1,4,red,209,T6E
63,0,0,1,4,red,209,T6E
64,0,0,1,4,red,209,T6E
65,0,0,1,4,red,209,T6E
66,0,0,1,4,red,209,T6E
67,0,0,1,4,red,209,T6E
68,0,0,1,4,red,209,T6E
69,0,0,1,4,red,209,T6E
70,0,0,1,4,red,209,T6E
71,1,0,0,4,red,209,T6E
72,1,0,0,4,red,209,T6E
73,1,0,0,4,red,209,T6E
74,1,0,0,4,red,209,T6E
75,1,0,0,4,red,209,T6E
76,0,0,1,4,red,209,T6E
77,0,0,1,4,red,209,T6E
78,0,0,1,4,red,209,T6E
79,0,0,1,4,red,209,T6E
80,0,0,1,4,red,209,T6E
81,0,0,1,4,red,209,T6E
82,0,0,1,4,red,209,T6E
83,0,0,1,4,red,209,T6E
84,0,0,1,4,red,209,T6E
85,0,0,1,4,red,209,T6E
86,0,1,0,4,red,209,T6E
87,0,1,0,4,red,209,T6E
88,0,1,0,4,red,209,T6E
89,0,1,0,4,red,209,T6E
90,0,1,0,4,red,209,T6E
91,0,1,0,4,red,209,T6E
92,0,1,0,4,red,209,T6E
93,0,1,0,4,red,209,T6E
94,0,1,0,4,red,209,T6E
95,0,1,0,4,red,209,T6E
96,0,1,0,4,red,209,T6E
97,0,1,0,4,red,209,T6E
98,0,1,0,4,red,209,T6E
99,0,1,0,4,red,209,T6E
100,0,1,0,4,red,209,T6E
101,0,1,0,4,red,209,T6E
102,0,1,0,4,red,209,T6E
103,0,1,0,4,red,209,T6E
104,0,1,0,4,red,209,T6E
105,0,1,0,4,red,209,T6E
106,0,1,0,4,red,209,T6E
107,0,1,0,4,red,209,T6E
108,0,1,0,4,red,209,T6E
109,0,1,0,4,red,209,T6E
110,0,1,0,4,red,209,T6E
111,0,1,0,4,red,209,T6E
112,0,1,0,4,red,209,T6E
113,0,1,0,4,red,209,T6E
114,0,1,0,4,red,209,T6E
115,0,1,0,4,red,209,T6E
116,0,1,0,4,red,209,T6E
117,0,1,0,4,red,209,T6E
118,0,1,0,4,red,209,T6E
119,0,1,0,4,red,209,T6E
120,0,1,0,4,red,209,T6E
121,0,1,0,4,red,209,T6E
122,0,1,0,4,red,209,T6E
123,0,1,0,4,red,209,T6E
124,0,1,0,4,red,209,T6E
125,0,1,0,4,red,209,T6E
126,0,1,0,4,red,209,T6E
127,0,1,0,4,red,209,T6E
128,0,1,0,4,red,209,T6E
129,0,1,0,4,red,209,T6E
130,0,1,0,4,red,209,T6E
131,0,1,0,4,red,209,T6E
132,0,1,0,4,red,209,T6E
133,0,1,0,4,red,209,T6E
134,0,1,0,4,red,209,T6E
135,0,1,0,4,red,209,T6E
136,0,1,0,4,red,209,T6E
137,0,1,0,4,red,209,T6E
138,0,1,0,4,red,209,T6E
139,0,1,0,4,red,209,T6E
140,0,1,0,4,red,209,T6E
141,0,1,0,4,red,209,T6E
142,0,1,0,4,red,209,T6E
143,0,1,0,4,red,209,T6E
144,0,1,0,4,red,209,T6E
145,0,1,0,4,red,209,T6E
146,0,1,0,4,red,209,T6E
147,0,1,0,4,red,209,T6E
148,0,1,0,4,red,209,T6E
149,0,1,0,4,red,209,T6E
150,0,1,0,4,red,209,T6E
151,0,1,0,4,red,209,T6E
0,0,0,1,5,red,241,T6E
1,0,0,1,5,red,241,T6E
2,0,0,1,5,red,241,T6E
3,0,0,1,5,red,241,T6E
4,0,0,1,5,red,241,T6E
5,0,0,1,5,red,241,T6E
6,0,0,1,5,red,241,T6E
7,0,0,1,5,red,241,T6E
8,0,0,1,5,red,241,T6E
9,0,0,1,5,red,241,T6E
10,0,0,1,5,red,241,T6E
11,0,0,1,5,red,241,T6E
12,0,0,1,5,red,241,T6E
13,0,0,1,5,red,241,T6E
14,0,0,1,5,red,241,T6E
15,0,0,1,5,red,241,T6E
16,0,0,1,5,red,241,T6E
17,0,0,1,5,red,241,T6E
18,0,0,1,5,red,241,T6E
19,0,0,1,5,red,241,T6E
20,0,0,1,5,red,241,T6E
21,0,0,1,5,red,241,T6E
22,1,0,0,5,red,241,T6E
23,1,0,0,5,red,241,T6E
24,1,0,0,5,red,241,T6E
25,1,0,0,5,red,241,T6E
26,1,0,0,5,red,241,T6E
27,1,0,0,5,red,241,T6E
28,1,0,0,5,red,241,T6E
29,1,0,0,5,red,241,T6E
30,1,0,0,5,red,241,T6E
31,1,0,0,5,red,241,T6E
32,1,0,0,5,red,241,T6E
33,1,0,0,5,red,241,T6E
34,1,0,0,5,red,241,T6E
35,1,0,0,5,red,241,T6E
36,1,0,0,5,red,241,T6E
37,1,0,0,5,red,241,T6E
38,1,0,0,5,red,241,T6E
39,0,1,0,5,red,241,T6E
40,0,1,0,5,red,241,T6E
41,0,1,0,5,red,241,T6E
42,0,1,0,5,red,241,T6E
43,0,1,0,5,red,241,T6E
44,0,0,1,5,red,241,T6E
45,0,0,1,5,red,241,T6E
46,0,0,1,5,red,241,T6E
47,0,1,0,5,red,241,T6E
48,0,1,0,5,red,241,T6E
49,0,1,0,5,red,241,T6E
50,0,0,1,5,red,241,T6E
51,0,0,1,5,red,241,T6E
52,0,0,1,5,red,241,T6E
53,0,0,1,5,red,241,T6E
54,0,1,0,5,red,241,T6E
55,0,1,0,5,red,241,T6E
56,0,1,0,5,red,241,T6E
57,0,1,0,5,red,241,T6E
58,0,0,1,5,red,241,T6E
59,0,0,1,5,red,241,T6E
60,0,0,1,5,red,241,T6E
61,0,1,0,5,red,241,T6E
62,0,1,0,5,red,241,T6E
63,0,1,0,5,red,241,T6E
64,0,1,0,5,red,241,T6E
65,0,0,1,5,red,241,T6E
66,0,0,1,5,red,241,T6E
67,0,1,0,5,red,241,T6E
68,0,1,0,5,red,241,T6E
69,0,1,0,5,red,241,T6E
70,0,1,0,5,red,241,T6E
71,0,1,0,5,red,241,T6E
72,0,0,1,5,red,241,T6E
73,0,0,1,5,red,241,T6E
