frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,4,green,236,T9D
1,0,0,1,4,green,236,T9D
2,0,0,1,4,green,236,T9D
3,0,0,1,4,green,236,T9D
4,0,0,1,4,green,236,T9D
5,0,0,1,4,green,236,T9D
6,0,0,1,4,green,236,T9D
7,0,0,1,4,green,236,T9D
8,0,0,1,4,green,236,T9D
9,0,0,1,4,green,236,T9D
10,0,0,1,4,green,236,T9D
11,0,0,1,4,green,236,T9D
12,0,0,1,4,green,236,T9D
13,0,0,1,4,green,236,T9D
14,0,0,1,4,green,236,T9D
15,0,0,1,4,green,236,T9D
16,0,0,1,4,green,236,T9D
17,0,0,1,4,green,236,T9D
18,0,0,1,4,green,236,T9D
19,0,0,1,4,green,236,T9D
20,0,0,1,4,green,236,T9D
21,0,0,1,4,green,236,T9D
22,0,0,1,4,green,236,T9D
23,0,0,1,4,green,236,T9D
24,0,0,1,4,green,236,T9D
25,0,0,1,4,green,236,T9D
26,0,0,1,4,green,236,T9D
27,0,0,1,4,green,236,T9D
28,0,0,1,4,green,236,T9D
29,0,0,1,4,green,236,T9D
30,0,0,1,4,green,236,T9D
31,0,0,1,4,green,236,T9D
32,0,1,0,4,green,236,T9D
33,0,1,0,4,green,236,T9D
34,0,1,0,4,green,236,T9D
35,0,1,0,4,green,236,T9D
36,0,1,0,4,green,236,T9D
37,0,1,0,4,green,236,T9D
38,0,1,0,4,green,236,T9D
39,0,1,0,4,green,236,T9D
40,0,1,0,4,green,236,T9D
41,0,1,0,4,green,236,T9D
42,0,1,0,4,green,236,T9D
43,0,1,0,4,green,236,T9D
44,0,1,0,4,green,236,T9D
45,0,1,0,4,green,236,T9D
46,0,1,0,4,green,236,T9D
47,0,1,0,4,green,236,T9D
48,0,1,0,4,green,236,T9D
49,0,1,0,4,green,236,T9D
50,0,1,0,4,green,236,T9D
51,0,1,0,4,green,236,T9D
52,0,1,0,4,green,236,T9D
53,0,1,0,4,green,236,T9D
54,0,1,0,4,green,236,T9D
55,0,1,0,4,green,236,T9D
56,0,1,0,4,green,236,T9D
57,0,1,0,4,green,236,T9D
58,0,1,0,4,green,236,T9D
59,0,1,0,4,green,236,T9D
60,0,1,0,4,green,236,T9D
61,0,1,0,4,green,236,T9D
62,0,1,0,4,green,236,T9D
63,0,1,0,4,green,236,T9D
64,0,1,0,4,green,236,T9D
65,0,1,0,4,green,236,T9D
66,0,1,0,4,green,236,T9D
67,0,1,0,4,green,236,T9D
68,0,1,0,4,green,236,T9D
69,0,1,0,4,green,236,T9D
70,0,1,0,4,green,236,T9D
71,0,1,0,4,green,236,T9D
72,0,1,0,4,green,236,T9D
73,0,1,0,4,green,236,T9D
74,0,1,0,4,green,236,T9D
75,0,1,0,4,green,236,T9D
76,0,1,0,4,green,236,T9D
77,0,1,0,4,green,236,T9D
78,0,1,0,4,green,236,T9D
79,0,1,0,4,green,236,T9D
80,0,1,0,4,green,236,T9D
81,0,1,0,4,green,236,T9D
82,0,1,0,4,green,236,T9D
83,0,1,0,4,green,236,T9D
84,0,1,0,4,green,236,T9D
85,0,1,0,4,green,236,T9D
86,0,1,0,4,green,236,T9D
87,0,1,0,4,green,236,T9D
88,0,1,0,4,green,236,T9D
89,0,1,0,4,green,236,T9D
90,0,1,0,4,green,236,T9D
91,0,1,0,4,green,236,T9D
0,0,0,1,5,green,262,T9D
1,0,0,1,5,green,262,T9D
2,0,0,1,5,green,262,T9D
3,0,0,1,5,green,262,T9D
4,0,0,1,5,green,262,T9D
5,0,0,1,5,green,262,T9D
6,0,0,1,5,green,262,T9D
7,0,0,1,5,green,262,T9D
8,0,0,1,5,green,262,T9D
9,0,0,1,5,green,262,T9D
10,0,0,1,5,green,262,T9D
11,0,0,1,5,green,262,T9D
12,0,0,1,5,green,262,T9D
13,0,0,1,5,green,262,T9D
14,0,0,1,5,green,262,T9D
15,0,0,1,5,green,262,T9D
16,0,0,1,5,green,262,T9D
17,0,0,1,5,green,262,T9D
18,0,0,1,5,green,262,T9D
19,0,0,1,5,green,262,T9D
20,0,0,1,5,green,262,T9D
21,0,0,1,5,green,262,T9D
22,0,0,1,5,green,262,T9D
23,0,0,1,5,green,262,T9D
24,0,0,1,5,green,262,T9D
25,0,0,1,5,green,262,T9D
26,0,0,1,5,green,262,T9D
27,0,0,1,5,green,262,T9D
28,1,0,0,5,green,262,T9D
