frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,4,red,18,CC_control_2
1,0,0,1,4,red,18,CC_control_2
2,0,0,1,4,red,18,CC_control_2
3,0,0,1,4,red,18,CC_control_2
4,0,0,1,4,red,18,CC_control_2
5,0,0,1,4,red,18,CC_control_2
6,0,0,1,4,red,18,CC_control_2
7,0,0,1,4,red,18,CC_control_2
8,0,0,1,4,red,18,CC_control_2
9,0,0,1,4,red,18,CC_control_2
10,0,0,1,4,red,18,CC_control_2
11,0,0,1,4,red,18,CC_control_2
12,0,0,1,4,red,18,CC_control_2
13,0,0,1,4,red,18,CC_control_2
14,0,0,1,4,red,18,CC_control_2
15,0,0,1,4,red,18,CC_control_2
16,0,0,1,4,red,18,CC_control_2
17,0,0,1,4,red,18,CC_control_2
18,0,0,1,4,red,18,CC_control_2
19,0,0,1,4,red,18,CC_control_2
20,0,0,1,4,red,18,CC_control_2
21,0,0,1,4,red,18,CC_control_2
22,0,0,1,4,red,18,CC_control_2
23,0,0,1,4,red,18,CC_control_2
24,0,0,1,4,red,18,CC_control_2
25,0,0,1,4,red,18,CC_control_2
26,0,0,1,4,red,18,CC_control_2
27,0,0,1,4,red,18,CC_control_2
28,0,0,1,4,red,18,CC_control_2
29,0,0,1,4,red,18,CC_control_2
30,0,0,1,4,red,18,CC_control_2
31,0,0,1,4,red,18,CC_control_2
32,0,0,1,4,red,18,CC_control_2
33,0,0,1,4,red,18,CC_control_2
34,0,0,1,4,red,18,CC_control_2
35,0,0,1,4,red,18,CC_control_2
36,0,0,1,4,red,18,CC_control_2
37,0,0,1,4,red,18,CC_control_2
38,0,0,1,4,red,18,CC_control_2
39,0,0,1,4,red,18,CC_control_2
40,0,0,1,4,red,18,CC_control_2
41,0,0,1,4,red,18,CC_control_2
42,0,0,1,4,red,18,CC_control_2
43,0,0,1,4,red,18,CC_control_2
44,0,0,1,4,red,18,CC_control_2
45,0,0,1,4,red,18,CC_control_2
46,0,0,1,4,red,18,CC_control_2
47,0,0,1,4,red,18,CC_control_2
48,0,0,1,4,red,18,CC_control_2
49,0,0,1,4,red,18,CC_control_2
50,0,0,1,4,red,18,CC_control_2
