frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,4,red,26,UC_negative_nosurprise_7
1,0,0,1,4,red,26,UC_negative_nosurprise_7
2,0,0,1,4,red,26,UC_negative_nosurprise_7
3,0,0,1,4,red,26,UC_negative_nosurprise_7
4,0,0,1,4,red,26,UC_negative_nosurprise_7
5,0,0,1,4,red,26,UC_negative_nosurprise_7
6,0,0,1,4,red,26,UC_negative_nosurprise_7
7,0,0,1,4,red,26,UC_negative_nosurprise_7
8,0,0,1,4,red,26,UC_negative_nosurprise_7
9,0,0,1,4,red,26,UC_negative_nosurprise_7
10,0,0,1,4,red,26,UC_negative_nosurprise_7
11,0,0,1,4,red,26,UC_negative_nosurprise_7
12,0,0,1,4,red,26,UC_negative_nosurprise_7
13,0,0,1,4,red,26,UC_negative_nosurprise_7
14,0,0,1,4,red,26,UC_negative_nosurprise_7
15,0,0,1,4,red,26,UC_negative_nosurprise_7
16,0,0,1,4,red,26,UC_negative_nosurprise_7
17,0,0,1,4,red,26,UC_negative_nosurprise_7
18,0,0,1,4,red,26,UC_negative_nosurprise_7
19,0,0,1,4,red,26,UC_negative_nosurprise_7
20,0,0,1,4,red,26,UC_negative_nosurprise_7
21,0,0,1,4,red,26,UC_negative_nosurprise_7
22,0,0,1,4,red,26,UC_negative_nosurprise_7
23,0,0,1,4,red,26,UC_negative_nosurprise_7
24,0,0,1,4,red,26,UC_negative_nosurprise_7
25,0,0,1,4,red,26,UC_negative_nosurprise_7
26,0,0,1,4,red,26,UC_negative_nosurprise_7
27,0,0,1,4,red,26,UC_negative_nosurprise_7
28,0,0,1,4,red,26,UC_negative_nosurprise_7
29,0,0,1,4,red,26,UC_negative_nosurprise_7
30,0,0,1,4,red,26,UC_negative_nosurprise_7
31,0,0,1,4,red,26,UC_negative_nosurprise_7
32,0,0,1,4,red,26,UC_negative_nosurprise_7
33,0,0,1,4,red,26,UC_negative_nosurprise_7
34,0,0,1,4,red,26,UC_negative_nosurprise_7
35,0,0,1,4,red,26,UC_negative_nosurprise_7
36,0,0,1,4,red,26,UC_negative_nosurprise_7
37,0,0,1,4,red,26,UC_negative_nosurprise_7
38,0,0,1,4,red,26,UC_negative_nosurprise_7
39,0,0,1,4,red,26,UC_negative_nosurprise_7
40,0,0,1,4,red,26,UC_negative_nosurprise_7
41,0,0,1,4,red,26,UC_negative_nosurprise_7
42,0,0,1,4,red,26,UC_negative_nosurprise_7
43,0,0,1,4,red,26,UC_negative_nosurprise_7
44,0,0,1,4,red,26,UC_negative_nosurprise_7
45,0,0,1,4,red,26,UC_negative_nosurprise_7
46,0,0,1,4,red,26,UC_negative_nosurprise_7
47,0,0,1,4,red,26,UC_negative_nosurprise_7
48,0,0,1,4,red,26,UC_negative_nosurprise_7
49,0,0,1,4,red,26,UC_negative_nosurprise_7
50,0,0,1,4,red,26,UC_negative_nosurprise_7
51,0,0,1,4,red,26,UC_negative_nosurprise_7
52,0,0,1,4,red,26,UC_negative_nosurprise_7
53,0,0,1,4,red,26,UC_negative_nosurprise_7
54,0,0,1,4,red,26,UC_negative_nosurprise_7
55,0,0,1,4,red,26,UC_negative_nosurprise_7
56,0,0,1,4,red,26,UC_negative_nosurprise_7
57,0,0,1,4,red,26,UC_negative_nosurprise_7
58,0,0,1,4,red,26,UC_negative_nosurprise_7
59,0,0,1,4,red,26,UC_negative_nosurprise_7
60,0,0,1,4,red,26,UC_negative_nosurprise_7
61,0,0,1,4,red,26,UC_negative_nosurprise_7
62,0,0,1,4,red,26,UC_negative_nosurprise_7
63,0,0,1,4,red,26,UC_negative_nosurprise_7
64,0,0,1,4,red,26,UC_negative_nosurprise_7
65,0,0,1,4,red,26,UC_negative_nosurprise_7
66,0,0,1,4,red,26,UC_negative_nosurprise_7
67,0,0,1,4,red,26,UC_negative_nosurprise_7
68,0,0,1,4,red,26,UC_negative_nosurprise_7
69,0,0,1,4,red,26,UC_negative_nosurprise_7
70,0,0,1,4,red,26,UC_negative_nosurprise_7
71,0,0,1,4,red,26,UC_negative_nosurprise_7
72,0,0,1,4,red,26,UC_negative_nosurprise_7
73,0,0,1,4,red,26,UC_negative_nosurprise_7
74,0,0,1,4,red,26,UC_negative_nosurprise_7
75,0,0,1,4,red,26,UC_negative_nosurprise_7
76,0,0,1,4,red,26,UC_negative_nosurprise_7
77,0,0,1,4,red,26,UC_negative_nosurprise_7
78,0,0,1,4,red,26,UC_negative_nosurprise_7
79,0,0,1,4,red,26,UC_negative_nosurprise_7
80,0,0,1,4,red,26,UC_negative_nosurprise_7
81,0,0,1,4,red,26,UC_negative_nosurprise_7
82,0,0,1,4,red,26,UC_negative_nosurprise_7
83,0,0,1,4,red,26,UC_negative_nosurprise_7
84,0,0,1,4,red,26,UC_negative_nosurprise_7
85,0,0,1,4,red,26,UC_negative_nosurprise_7
86,0,0,1,4,red,26,UC_negative_nosurprise_7
87,0,0,1,4,red,26,UC_negative_nosurprise_7
88,0,0,1,4,red,26,UC_negative_nosurprise_7
89,0,0,1,4,red,26,UC_negative_nosurprise_7
90,0,0,1,4,red,26,UC_negative_nosurprise_7
91,0,0,1,4,red,26,UC_negative_nosurprise_7
92,0,0,1,4,red,26,UC_negative_nosurprise_7
93,0,0,1,4,red,26,UC_negative_nosurprise_7
94,0,0,1,4,red,26,UC_negative_nosurprise_7
95,0,0,1,4,red,26,UC_negative_nosurprise_7
96,0,0,1,4,red,26,UC_negative_nosurprise_7
97,0,0,1,4,red,26,UC_negative_nosurprise_7
98,0,0,1,4,red,26,UC_negative_nosurprise_7
99,0,0,1,4,red,26,UC_negative_nosurprise_7
100,0,0,1,4,red,26,UC_negative_nosurprise_7
101,0,0,1,4,red,26,UC_negative_nosurprise_7
102,0,0,1,4,red,26,UC_negative_nosurprise_7
103,0,0,1,4,red,26,UC_negative_nosurprise_7
104,0,0,1,4,red,26,UC_negative_nosurprise_7
105,0,0,1,4,red,26,UC_negative_nosurprise_7
106,0,0,1,4,red,26,UC_negative_nosurprise_7
107,0,0,1,4,red,26,UC_negative_nosurprise_7
108,0,0,1,4,red,26,UC_negative_nosurprise_7
109,0,0,1,4,red,26,UC_negative_nosurprise_7
110,0,0,1,4,red,26,UC_negative_nosurprise_7
111,0,0,1,4,red,26,UC_negative_nosurprise_7
112,0,0,1,4,red,26,UC_negative_nosurprise_7
113,0,0,1,4,red,26,UC_negative_nosurprise_7
114,0,0,1,4,red,26,UC_negative_nosurprise_7
115,0,0,1,4,red,26,UC_negative_nosurprise_7
116,0,0,1,4,red,26,UC_negative_nosurprise_7
117,0,0,1,4,red,26,UC_negative_nosurprise_7
118,0,0,1,4,red,26,UC_negative_nosurprise_7
119,0,0,1,4,red,26,UC_negative_nosurprise_7
120,0,0,1,4,red,26,UC_negative_nosurprise_7
121,0,0,1,4,red,26,UC_negative_nosurprise_7
122,0,0,1,4,red,26,UC_negative_nosurprise_7
123,0,0,1,4,red,26,UC_negative_nosurprise_7
124,0,0,1,4,red,26,UC_negative_nosurprise_7
125,0,0,1,4,red,26,UC_negative_nosurprise_7
126,0,0,1,4,red,26,UC_negative_nosurprise_7
127,0,0,1,4,red,26,UC_negative_nosurprise_7
128,0,0,1,4,red,26,UC_negative_nosurprise_7
129,0,0,1,4,red,26,UC_negative_nosurprise_7
130,0,0,1,4,red,26,UC_negative_nosurprise_7
131,0,0,1,4,red,26,UC_negative_nosurprise_7
132,0,0,1,4,red,26,UC_negative_nosurprise_7
133,0,0,1,4,red,26,UC_negative_nosurprise_7
134,0,0,1,4,red,26,UC_negative_nosurprise_7
135,0,0,1,4,red,26,UC_negative_nosurprise_7
136,0,0,1,4,red,26,UC_negative_nosurprise_7
137,0,0,1,4,red,26,UC_negative_nosurprise_7
138,0,0,1,4,red,26,UC_negative_nosurprise_7
139,0,0,1,4,red,26,UC_negative_nosurprise_7
140,0,0,1,4,red,26,UC_negative_nosurprise_7
141,0,0,1,4,red,26,UC_negative_nosurprise_7
142,0,0,1,4,red,26,UC_negative_nosurprise_7
143,0,0,1,4,red,26,UC_negative_nosurprise_7
144,0,0,1,4,red,26,UC_negative_nosurprise_7
145,0,0,1,4,red,26,UC_negative_nosurprise_7
146,0,0,1,4,red,26,UC_negative_nosurprise_7
147,0,0,1,4,red,26,UC_negative_nosurprise_7
148,0,0,1,4,red,26,UC_negative_nosurprise_7
149,0,0,1,4,red,26,UC_negative_nosurprise_7
150,0,0,1,4,red,26,UC_negative_nosurprise_7
151,0,0,1,4,red,26,UC_negative_nosurprise_7
152,0,0,1,4,red,26,UC_negative_nosurprise_7
153,0,0,1,4,red,26,UC_negative_nosurprise_7
154,0,0,1,4,red,26,UC_negative_nosurprise_7
155,0,0,1,4,red,26,UC_negative_nosurprise_7
156,0,0,1,4,red,26,UC_negative_nosurprise_7
157,0,0,1,4,red,26,UC_negative_nosurprise_7
158,0,0,1,4,red,26,UC_negative_nosurprise_7
159,0,0,1,4,red,26,UC_negative_nosurprise_7
160,0,0,1,4,red,26,UC_negative_nosurprise_7
161,0,0,1,4,red,26,UC_negative_nosurprise_7
162,0,0,1,4,red,26,UC_negative_nosurprise_7
163,0,0,1,4,red,26,UC_negative_nosurprise_7
164,0,0,1,4,red,26,UC_negative_nosurprise_7
165,0,0,1,4,red,26,UC_negative_nosurprise_7
166,0,0,1,4,red,26,UC_negative_nosurprise_7
167,0,0,1,4,red,26,UC_negative_nosurprise_7
168,0,0,1,4,red,26,UC_negative_nosurprise_7
169,0,0,1,4,red,26,UC_negative_nosurprise_7
170,0,0,1,4,red,26,UC_negative_nosurprise_7
171,0,0,1,4,red,26,UC_negative_nosurprise_7
172,0,0,1,4,red,26,UC_negative_nosurprise_7
173,0,0,1,4,red,26,UC_negative_nosurprise_7
174,0,0,1,4,red,26,UC_negative_nosurprise_7
175,0,0,1,4,red,26,UC_negative_nosurprise_7
176,0,0,1,4,red,26,UC_negative_nosurprise_7
177,0,0,1,4,red,26,UC_negative_nosurprise_7
178,0,0,1,4,red,26,UC_negative_nosurprise_7
179,0,0,1,4,red,26,UC_negative_nosurprise_7
180,0,0,1,4,red,26,UC_negative_nosurprise_7
181,0,0,1,4,red,26,UC_negative_nosurprise_7
182,0,0,1,4,red,26,UC_negative_nosurprise_7
183,0,0,1,4,red,26,UC_negative_nosurprise_7
184,0,0,1,4,red,26,UC_negative_nosurprise_7
185,0,0,1,4,red,26,UC_negative_nosurprise_7
186,0,0,1,4,red,26,UC_negative_nosurprise_7
187,0,0,1,4,red,26,UC_negative_nosurprise_7
188,0,0,1,4,red,26,UC_negative_nosurprise_7
189,0,0,1,4,red,26,UC_negative_nosurprise_7
190,0,0,1,4,red,26,UC_negative_nosurprise_7
191,0,0,1,4,red,26,UC_negative_nosurprise_7
192,0,0,1,4,red,26,UC_negative_nosurprise_7
193,0,0,1,4,red,26,UC_negative_nosurprise_7
194,0,0,1,4,red,26,UC_negative_nosurprise_7
195,0,0,1,4,red,26,UC_negative_nosurprise_7
196,0,0,1,4,red,26,UC_negative_nosurprise_7
197,0,0,1,4,red,26,UC_negative_nosurprise_7
198,0,0,1,4,red,26,UC_negative_nosurprise_7
199,0,0,1,4,red,26,UC_negative_nosurprise_7
200,0,0,1,4,red,26,UC_negative_nosurprise_7
201,0,0,1,4,red,26,UC_negative_nosurprise_7
202,0,0,1,4,red,26,UC_negative_nosurprise_7
203,0,0,1,4,red,26,UC_negative_nosurprise_7
204,0,0,1,4,red,26,UC_negative_nosurprise_7
205,0,0,1,4,red,26,UC_negative_nosurprise_7
206,0,0,1,4,red,26,UC_negative_nosurprise_7
207,0,0,1,4,red,26,UC_negative_nosurprise_7
208,0,0,1,4,red,26,UC_negative_nosurprise_7
209,0,0,1,4,red,26,UC_negative_nosurprise_7
210,0,0,1,4,red,26,UC_negative_nosurprise_7
211,0,0,1,4,red,26,UC_negative_nosurprise_7
212,0,0,1,4,red,26,UC_negative_nosurprise_7
213,0,0,1,4,red,26,UC_negative_nosurprise_7
214,0,0,1,4,red,26,UC_negative_nosurprise_7
215,0,0,1,4,red,26,UC_negative_nosurprise_7
216,0,0,1,4,red,26,UC_negative_nosurprise_7
217,0,0,1,4,red,26,UC_negative_nosurprise_7
218,0,0,1,4,red,26,UC_negative_nosurprise_7
219,0,0,1,4,red,26,UC_negative_nosurprise_7
220,0,0,1,4,red,26,UC_negative_nosurprise_7
221,0,0,1,4,red,26,UC_negative_nosurprise_7
222,0,0,1,4,red,26,UC_negative_nosurprise_7
223,0,0,1,4,red,26,UC_negative_nosurprise_7
224,0,0,1,4,red,26,UC_negative_nosurprise_7
