frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,203,red,5234,T11
1,0,0,1,203,red,5234,T11
2,0,0,1,203,red,5234,T11
3,0,0,1,203,red,5234,T11
4,0,0,1,203,red,5234,T11
5,0,0,1,203,red,5234,T11
6,0,0,1,203,red,5234,T11
7,0,0,1,203,red,5234,T11
8,0,0,1,203,red,5234,T11
9,0,0,1,203,red,5234,T11
10,0,0,1,203,red,5234,T11
11,0,0,1,203,red,5234,T11
12,0,0,1,203,red,5234,T11
13,0,0,1,203,red,5234,T11
14,0,0,1,203,red,5234,T11
15,0,0,1,203,red,5234,T11
16,0,0,1,203,red,5234,T11
17,0,0,1,203,red,5234,T11
18,0,0,1,203,red,5234,T11
19,0,0,1,203,red,5234,T11
20,0,0,1,203,red,5234,T11
21,0,0,1,203,red,5234,T11
22,0,0,1,203,red,5234,T11
23,0,0,1,203,red,5234,T11
24,0,0,1,203,red,5234,T11
25,0,0,1,203,red,5234,T11
26,0,0,1,203,red,5234,T11
27,0,0,1,203,red,5234,T11
28,0,0,1,203,red,5234,T11
29,0,0,1,203,red,5234,T11
30,0,0,1,203,red,5234,T11
31,0,0,1,203,red,5234,T11
32,0,0,1,203,red,5234,T11
33,0,0,1,203,red,5234,T11
34,0,0,1,203,red,5234,T11
35,0,0,1,203,red,5234,T11
36,0,1,0,203,red,5234,T11
37,0,1,0,203,red,5234,T11
38,0,1,0,203,red,5234,T11
39,0,1,0,203,red,5234,T11
40,0,1,0,203,red,5234,T11
41,0,1,0,203,red,5234,T11
42,0,1,0,203,red,5234,T11
43,0,1,0,203,red,5234,T11
44,0,1,0,203,red,5234,T11
45,0,1,0,203,red,5234,T11
46,0,1,0,203,red,5234,T11
47,0,1,0,203,red,5234,T11
48,0,1,0,203,red,5234,T11
49,0,1,0,203,red,5234,T11
50,0,1,0,203,red,5234,T11
51,0,1,0,203,red,5234,T11
52,0,1,0,203,red,5234,T11
53,0,1,0,203,red,5234,T11
54,0,1,0,203,red,5234,T11
55,0,1,0,203,red,5234,T11
56,0,1,0,203,red,5234,T11
57,0,1,0,203,red,5234,T11
58,0,1,0,203,red,5234,T11
59,0,1,0,203,red,5234,T11
60,0,1,0,203,red,5234,T11
61,0,1,0,203,red,5234,T11
62,0,1,0,203,red,5234,T11
63,0,1,0,203,red,5234,T11
64,0,1,0,203,red,5234,T11
65,0,1,0,203,red,5234,T11
66,0,1,0,203,red,5234,T11
67,0,1,0,203,red,5234,T11
68,0,1,0,203,red,5234,T11
69,0,1,0,203,red,5234,T11
70,0,1,0,203,red,5234,T11
71,0,1,0,203,red,5234,T11
72,0,1,0,203,red,5234,T11
73,0,1,0,203,red,5234,T11
74,0,1,0,203,red,5234,T11
75,0,1,0,203,red,5234,T11
76,0,1,0,203,red,5234,T11
77,0,1,0,203,red,5234,T11
78,0,1,0,203,red,5234,T11
79,0,1,0,203,red,5234,T11
80,0,1,0,203,red,5234,T11
81,0,1,0,203,red,5234,T11
82,0,1,0,203,red,5234,T11
83,0,1,0,203,red,5234,T11
84,0,1,0,203,red,5234,T11
85,0,1,0,203,red,5234,T11
86,0,1,0,203,red,5234,T11
87,0,1,0,203,red,5234,T11
88,0,1,0,203,red,5234,T11
89,0,1,0,203,red,5234,T11
90,0,1,0,203,red,5234,T11
91,0,1,0,203,red,5234,T11
92,0,1,0,203,red,5234,T11
93,0,1,0,203,red,5234,T11
94,0,1,0,203,red,5234,T11
95,0,1,0,203,red,5234,T11
96,0,1,0,203,red,5234,T11
97,0,1,0,203,red,5234,T11
