frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,203,red,3601,T25
1,0,0,1,203,red,3601,T25
2,0,0,1,203,red,3601,T25
3,0,0,1,203,red,3601,T25
4,0,0,1,203,red,3601,T25
5,0,0,1,203,red,3601,T25
6,0,0,1,203,red,3601,T25
7,0,0,1,203,red,3601,T25
8,0,0,1,203,red,3601,T25
9,0,0,1,203,red,3601,T25
10,0,0,1,203,red,3601,T25
11,0,0,1,203,red,3601,T25
12,0,0,1,203,red,3601,T25
13,0,0,1,203,red,3601,T25
14,0,0,1,203,red,3601,T25
15,0,0,1,203,red,3601,T25
16,0,0,1,203,red,3601,T25
17,0,0,1,203,red,3601,T25
18,0,0,1,203,red,3601,T25
19,0,0,1,203,red,3601,T25
20,0,0,1,203,red,3601,T25
21,0,0,1,203,red,3601,T25
22,0,0,1,203,red,3601,T25
23,0,0,1,203,red,3601,T25
24,0,0,1,203,red,3601,T25
25,0,0,1,203,red,3601,T25
26,0,0,1,203,red,3601,T25
27,0,0,1,203,red,3601,T25
28,0,0,1,203,red,3601,T25
29,0,0,1,203,red,3601,T25
30,0,0,1,203,red,3601,T25
31,0,0,1,203,red,3601,T25
32,0,0,1,203,red,3601,T25
33,0,0,1,203,red,3601,T25
34,0,0,1,203,red,3601,T25
35,0,0,1,203,red,3601,T25
36,1,0,0,203,red,3601,T25
37,1,0,0,203,red,3601,T25
38,1,0,0,203,red,3601,T25
39,1,0,0,203,red,3601,T25
40,1,0,0,203,red,3601,T25
41,1,0,0,203,red,3601,T25
42,1,0,0,203,red,3601,T25
43,1,0,0,203,red,3601,T25
44,1,0,0,203,red,3601,T25
45,1,0,0,203,red,3601,T25
46,1,0,0,203,red,3601,T25
47,1,0,0,203,red,3601,T25
48,1,0,0,203,red,3601,T25
49,1,0,0,203,red,3601,T25
50,1,0,0,203,red,3601,T25
51,1,0,0,203,red,3601,T25
52,1,0,0,203,red,3601,T25
53,1,0,0,203,red,3601,T25
54,1,0,0,203,red,3601,T25
55,1,0,0,203,red,3601,T25
56,1,0,0,203,red,3601,T25
57,1,0,0,203,red,3601,T25
58,1,0,0,203,red,3601,T25
59,1,0,0,203,red,3601,T25
60,1,0,0,203,red,3601,T25
61,1,0,0,203,red,3601,T25
62,1,0,0,203,red,3601,T25
63,1,0,0,203,red,3601,T25
64,1,0,0,203,red,3601,T25
65,1,0,0,203,red,3601,T25
66,1,0,0,203,red,3601,T25
67,1,0,0,203,red,3601,T25
68,1,0,0,203,red,3601,T25
69,1,0,0,203,red,3601,T25
70,1,0,0,203,red,3601,T25
71,1,0,0,203,red,3601,T25
72,1,0,0,203,red,3601,T25
73,1,0,0,203,red,3601,T25
74,1,0,0,203,red,3601,T25
75,1,0,0,203,red,3601,T25
76,1,0,0,203,red,3601,T25
77,1,0,0,203,red,3601,T25
78,1,0,0,203,red,3601,T25
79,1,0,0,203,red,3601,T25
80,1,0,0,203,red,3601,T25
81,1,0,0,203,red,3601,T25
82,1,0,0,203,red,3601,T25
83,1,0,0,203,red,3601,T25
84,1,0,0,203,red,3601,T25
85,1,0,0,203,red,3601,T25
86,1,0,0,203,red,3601,T25
87,1,0,0,203,red,3601,T25
88,1,0,0,203,red,3601,T25
89,1,0,0,203,red,3601,T25
90,1,0,0,203,red,3601,T25
91,1,0,0,203,red,3601,T25
92,1,0,0,203,red,3601,T25
93,1,0,0,203,red,3601,T25
94,1,0,0,203,red,3601,T25
95,1,0,0,203,red,3601,T25
96,1,0,0,203,red,3601,T25
