frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,203,green,5037,T2D
1,0,0,1,203,green,5037,T2D
2,0,0,1,203,green,5037,T2D
3,0,0,1,203,green,5037,T2D
4,0,0,1,203,green,5037,T2D
5,0,0,1,203,green,5037,T2D
6,0,0,1,203,green,5037,T2D
7,0,0,1,203,green,5037,T2D
8,0,0,1,203,green,5037,T2D
9,0,0,1,203,green,5037,T2D
10,0,0,1,203,green,5037,T2D
11,0,0,1,203,green,5037,T2D
12,0,0,1,203,green,5037,T2D
13,0,0,1,203,green,5037,T2D
14,0,0,1,203,green,5037,T2D
15,0,0,1,203,green,5037,T2D
16,0,0,1,203,green,5037,T2D
17,0,0,1,203,green,5037,T2D
18,0,0,1,203,green,5037,T2D
19,0,0,1,203,green,5037,T2D
20,0,0,1,203,green,5037,T2D
21,0,0,1,203,green,5037,T2D
22,0,0,1,203,green,5037,T2D
23,0,0,1,203,green,5037,T2D
24,0,0,1,203,green,5037,T2D
25,0,0,1,203,green,5037,T2D
26,0,0,1,203,green,5037,T2D
27,0,0,1,203,green,5037,T2D
28,0,0,1,203,green,5037,T2D
29,0,0,1,203,green,5037,T2D
30,0,0,1,203,green,5037,T2D
31,0,0,1,203,green,5037,T2D
32,0,0,1,203,green,5037,T2D
33,0,0,1,203,green,5037,T2D
34,0,0,1,203,green,5037,T2D
35,0,0,1,203,green,5037,T2D
36,0,0,1,203,green,5037,T2D
37,0,0,1,203,green,5037,T2D
38,0,0,1,203,green,5037,T2D
39,0,0,1,203,green,5037,T2D
40,1,0,0,203,green,5037,T2D
41,1,0,0,203,green,5037,T2D
42,1,0,0,203,green,5037,T2D
43,1,0,0,203,green,5037,T2D
44,1,0,0,203,green,5037,T2D
45,1,0,0,203,green,5037,T2D
46,1,0,0,203,green,5037,T2D
47,1,0,0,203,green,5037,T2D
48,1,0,0,203,green,5037,T2D
49,1,0,0,203,green,5037,T2D
50,1,0,0,203,green,5037,T2D
51,1,0,0,203,green,5037,T2D
52,1,0,0,203,green,5037,T2D
53,1,0,0,203,green,5037,T2D
54,1,0,0,203,green,5037,T2D
55,1,0,0,203,green,5037,T2D
56,1,0,0,203,green,5037,T2D
57,1,0,0,203,green,5037,T2D
58,1,0,0,203,green,5037,T2D
59,1,0,0,203,green,5037,T2D
60,1,0,0,203,green,5037,T2D
61,1,0,0,203,green,5037,T2D
62,1,0,0,203,green,5037,T2D
63,1,0,0,203,green,5037,T2D
64,1,0,0,203,green,5037,T2D
65,1,0,0,203,green,5037,T2D
66,1,0,0,203,green,5037,T2D
67,1,0,0,203,green,5037,T2D
68,1,0,0,203,green,5037,T2D
69,1,0,0,203,green,5037,T2D
70,1,0,0,203,green,5037,T2D
71,1,0,0,203,green,5037,T2D
72,1,0,0,203,green,5037,T2D
73,1,0,0,203,green,5037,T2D
74,1,0,0,203,green,5037,T2D
75,1,0,0,203,green,5037,T2D
76,1,0,0,203,green,5037,T2D
77,1,0,0,203,green,5037,T2D
78,1,0,0,203,green,5037,T2D
79,0,0,1,203,green,5037,T2D
80,0,1,0,203,green,5037,T2D
81,0,1,0,203,green,5037,T2D
82,0,1,0,203,green,5037,T2D
83,0,1,0,203,green,5037,T2D
