base_trial_name,session_id,repeat_instance_index,trial_order_position,symmetry_transform
T16,203,0,1,6
T4E,203,0,2,1
T18,203,0,3,3
T3B,203,0,4,4
T11,203,0,5,1
T24,203,0,6,3
T31,203,0,7,6
T10,203,0,8,1
T8A,203,0,9,7
T32,203,0,10,6
T21,203,0,11,3
T9,203,0,12,4
T26,203,0,13,6
T23,203,0,14,3
T28,203,0,15,0
T25,203,0,16,6
T17,203,0,17,0
T5A,203,0,18,6
T2A,203,0,19,3
T11,203,1,20,2
T5D,203,0,21,1
T14,203,0,22,4
T10,203,1,23,2
T34,203,0,24,0
T3D,203,0,25,6
T6A,203,0,26,1
T9,203,1,27,5
T27,203,0,28,6
T5E,203,0,29,2
T4C,203,0,30,7
T15,203,0,31,3
T3C,203,0,32,5
T1C,203,0,33,7
T6D,203,0,34,4
T11,203,2,35,3
T19,203,0,36,1
T29,203,0,37,3
T10,203,2,38,3
T6C,203,0,39,3
T4F,203,0,40,2
T2C,203,0,41,5
T9,203,2,42,6
T4A,203,0,43,5
T2B,203,0,44,4
T4D,203,0,45,0
T1B,203,0,46,6
T8B,203,0,47,0
T5F,203,0,48,3
T8C,203,0,49,1
T11,203,3,50,4
T5C,203,0,51,0
T7B,203,0,52,4
T10,203,3,53,4
T22,203,0,54,6
T6B,203,0,55,2
T7C,203,0,56,5
T9,203,3,57,7
T33,203,0,58,0
T12,203,0,59,5
T2D,203,0,60,6
T30,203,0,61,3
T3A,203,0,62,3
T7A,203,0,63,3
T20,203,0,64,0
T11,203,4,65,5
T13,203,0,66,3
T1A,203,0,67,5
T10,203,4,68,5
T7D,203,0,69,6
T8D,203,0,70,2
T4B,203,0,71,6
T9,203,4,72,0
T5B,203,0,73,7
T1D,203,0,74,0
T11,204,0,1,2
T16,204,0,2,7
T33,204,0,3,1
T28,204,0,4,1
T7D,204,0,5,7
T27,204,0,6,7
T3B,204,0,7,5
T24,204,0,8,4
T29,204,0,9,4
T2B,204,0,10,5
T32,204,0,11,7
T8A,204,0,12,0
T9,204,0,13,5
T10,204,0,14,2
T3D,204,0,15,7
T11,204,1,16,3
T12,204,0,17,6
T4B,204,0,18,7
T30,204,0,19,4
T3A,204,0,20,4
T19,204,0,21,2
T7B,204,0,22,5
T23,204,0,23,4
T31,204,0,24,7
T4F,204,0,25,3
T7A,204,0,26,4
T1A,204,0,27,6
T9,204,1,28,6
T10,204,1,29,3
T18,204,0,30,4
T11,204,2,31,4
T21,204,0,32,4
T8C,204,0,33,2
T25,204,0,34,7
T6A,204,0,35,2
T4D,204,0,36,1
T14,204,0,37,5
T26,204,0,38,7
T34,204,0,39,1
T4C,204,0,40,0
T1B,204,0,41,7
T6C,204,0,42,4
T9,204,2,43,7
T10,204,2,44,4
T2C,204,0,45,6
T11,204,3,46,5
T5E,204,0,47,3
T17,204,0,48,1
T1D,204,0,49,1
T6D,204,0,50,5
T4E,204,0,51,2
T5B,204,0,52,0
T2D,204,0,53,7
T13,204,0,54,4
T8D,204,0,55,3
T1C,204,0,56,0
T22,204,0,57,7
T9,204,3,58,0
T10,204,3,59,5
T15,204,0,60,4
T11,204,4,61,6
T7C,204,0,62,6
T5C,204,0,63,1
T3C,204,0,64,6
T5A,204,0,65,7
T4A,204,0,66,6
T2A,204,0,67,4
T20,204,0,68,1
T5D,204,0,69,2
T8B,204,0,70,1
T5F,204,0,71,4
T6B,204,0,72,3
T9,204,4,73,1
T10,204,4,74,6
T2A,206,0,1,6
T5F,206,0,2,6
T6D,206,0,3,7
T10,206,0,4,4
T20,206,0,5,3
T7C,206,0,6,0
T24,206,0,7,6
T2B,206,0,8,7
T5C,206,0,9,3
T4B,206,0,10,1
T9,206,0,11,7
T7A,206,0,12,6
T11,206,0,13,4
T29,206,0,14,6
T21,206,0,15,6
T3B,206,0,16,7
T31,206,0,17,1
T28,206,0,18,3
T10,206,1,19,5
T4A,206,0,20,0
T5B,206,0,21,2
T3D,206,0,22,1
T22,206,0,23,1
T4E,206,0,24,4
T8A,206,0,25,2
T9,206,1,26,0
T34,206,0,27,3
T11,206,1,28,5
T6A,206,0,29,4
T4D,206,0,30,3
T1D,206,0,31,3
T14,206,0,32,7
T1C,206,0,33,2
T10,206,2,34,6
T6C,206,0,35,6
T2C,206,0,36,0
T7D,206,0,37,1
T6B,206,0,38,5
T8B,206,0,39,3
T1A,206,0,40,0
T9,206,2,41,1
T23,206,0,42,6
T11,206,2,43,6
T13,206,0,44,6
T30,206,0,45,6
T2D,206,0,46,1
T33,206,0,47,3
T1B,206,0,48,1
T10,206,3,49,7
T4F,206,0,50,5
T5A,206,0,51,1
T8C,206,0,52,4
T5D,206,0,53,4
T4C,206,0,54,2
T3A,206,0,55,6
T9,206,3,56,2
T15,206,0,57,6
T11,206,3,58,7
T16,206,0,59,1
T12,206,0,60,0
T3C,206,0,61,0
T32,206,0,62,1
T5E,206,0,63,5
T10,206,4,64,0
T25,206,0,65,1
T7B,206,0,66,7
T26,206,0,67,1
T19,206,0,68,4
T18,206,0,69,6
T27,206,0,70,1
T9,206,4,71,3
T17,206,0,72,3
T11,206,4,73,0
T8D,206,0,74,5
T1D,207,0,1,4
T20,207,0,2,4
T11,207,0,3,5
T6B,207,0,4,6
T7D,207,0,5,2
T5C,207,0,6,4
T17,207,0,7,4
T26,207,0,8,2
T8C,207,0,9,5
T10,207,0,10,5
T5E,207,0,11,6
T9,207,0,12,0
T19,207,0,13,5
T6A,207,0,14,5
T4F,207,0,15,6
T12,207,0,16,1
T3D,207,0,17,2
T11,207,1,18,6
T4D,207,0,19,4
T5D,207,0,20,5
T31,207,0,21,2
T7A,207,0,22,7
T4E,207,0,23,5
T3C,207,0,24,1
T10,207,1,25,6
T24,207,0,26,7
T9,207,1,27,1
T16,207,0,28,2
T5B,207,0,29,3
T34,207,0,30,4
T22,207,0,31,2
T2B,207,0,32,0
T11,207,2,33,7
T14,207,0,34,0
T5A,207,0,35,2
T6C,207,0,36,7
T21,207,0,37,7
T30,207,0,38,7
T5F,207,0,39,7
T10,207,2,40,7
T8D,207,0,41,6
T9,207,2,42,2
T7B,207,0,43,0
T1B,207,0,44,2
T25,207,0,45,2
T28,207,0,46,4
T13,207,0,47,7
T11,207,3,48,0
T6D,207,0,49,0
T4A,207,0,50,1
T23,207,0,51,7
T3B,207,0,52,0
T8A,207,0,53,3
T2C,207,0,54,1
T10,207,3,55,0
T1A,207,0,56,1
T9,207,3,57,3
T8B,207,0,58,4
T4B,207,0,59,2
T1C,207,0,60,3
T3A,207,0,61,7
T18,207,0,62,7
T11,207,4,63,1
T33,207,0,64,4
T4C,207,0,65,3
T7C,207,0,66,1
T2A,207,0,67,7
T15,207,0,68,7
T29,207,0,69,7
T10,207,4,70,1
T32,207,0,71,2
T9,207,4,72,4
T2D,207,0,73,2
T27,207,0,74,2
T5F,208,0,1,0
T6B,208,0,2,7
T23,208,0,3,0
T6A,208,0,4,6
T7C,208,0,5,2
T2D,208,0,6,3
T5B,208,0,7,4
T1D,208,0,8,5
T15,208,0,9,0
T10,208,0,10,6
T9,208,0,11,1
T3D,208,0,12,3
T11,208,0,13,6
T2C,208,0,14,2
T21,208,0,15,0
T4D,208,0,16,5
T32,208,0,17,3
T4E,208,0,18,6
T5E,208,0,19,7
T8D,208,0,20,7
T13,208,0,21,0
T1A,208,0,22,2
T5C,208,0,23,5
T8C,208,0,24,6
T10,208,1,25,7
T9,208,1,26,2
T18,208,0,27,0
T11,208,1,28,7
T16,208,0,29,3
T2A,208,0,30,0
T14,208,0,31,1
T1C,208,0,32,4
T20,208,0,33,5
T2B,208,0,34,1
T27,208,0,35,3
T22,208,0,36,3
T6D,208,0,37,1
T4C,208,0,38,4
T28,208,0,39,5
T10,208,2,40,0
T9,208,2,41,3
T6C,208,0,42,0
T11,208,2,43,0
T7B,208,0,44,1
T4A,208,0,45,2
T17,208,0,46,5
T3A,208,0,47,0
T19,208,0,48,6
T26,208,0,49,3
T8B,208,0,50,5
T5A,208,0,51,3
T7D,208,0,52,3
T33,208,0,53,5
T29,208,0,54,0
T10,208,3,55,1
T9,208,3,56,4
T34,208,0,57,5
T11,208,3,58,1
T3B,208,0,59,1
T31,208,0,60,3
T4B,208,0,61,3
T8A,208,0,62,4
T1B,208,0,63,3
T5D,208,0,64,6
T30,208,0,65,0
T4F,208,0,66,7
T7A,208,0,67,0
T24,208,0,68,0
T12,208,0,69,2
T10,208,4,70,2
T9,208,4,71,5
T25,208,0,72,3
T11,208,4,73,2
T3C,208,0,74,2
T34,209,0,1,6
T4E,209,0,2,7
T13,209,0,3,1
T3C,209,0,4,3
T9,209,0,5,2
T15,209,0,6,1
T11,209,0,7,7
T3A,209,0,8,1
T4A,209,0,9,3
T32,209,0,10,4
T8B,209,0,11,6
T10,209,0,12,7
T5B,209,0,13,5
T6A,209,0,14,7
T27,209,0,15,4
T5E,209,0,16,0
T24,209,0,17,1
T5D,209,0,18,7
T2C,209,0,19,3
T9,209,1,20,3
T16,209,0,21,4
T11,209,1,22,0
T5F,209,0,23,1
T26,209,0,24,4
T1C,209,0,25,5
T7C,209,0,26,3
T10,209,1,27,0
T5C,209,0,28,6
T19,209,0,29,7
T31,209,0,30,4
T29,209,0,31,1
T22,209,0,32,4
T4C,209,0,33,5
T3D,209,0,34,4
T9,209,2,35,4
T12,209,0,36,3
T11,209,2,37,1
T25,209,0,38,4
T6C,209,0,39,1
T2A,209,0,40,1
T17,209,0,41,6
T10,209,2,42,1
T8A,209,0,43,5
T7A,209,0,44,1
T33,209,0,45,6
T1A,209,0,46,3
T7D,209,0,47,4
T6D,209,0,48,2
T5A,209,0,49,4
T9,209,3,50,5
T20,209,0,51,6
T11,209,3,52,2
T4B,209,0,53,4
T23,209,0,54,1
T7B,209,0,55,2
T21,209,0,56,1
T10,209,3,57,2
T4F,209,0,58,0
T18,209,0,59,1
T6B,209,0,60,0
T8C,209,0,61,7
T2D,209,0,62,4
T8D,209,0,63,0
T3B,209,0,64,2
T9,209,4,65,6
T28,209,0,66,6
T11,209,4,67,3
T4D,209,0,68,6
T1B,209,0,69,4
T2B,209,0,70,2
T14,209,0,71,2
T10,209,4,72,3
T1D,209,0,73,6
T30,209,0,74,1
T7B,210,0,1,3
T2B,210,0,2,3
T32,210,0,3,5
T7A,210,0,4,2
T9,210,0,5,3
T29,210,0,6,2
T8D,210,0,7,1
T34,210,0,8,7
T3D,210,0,9,5
T11,210,0,10,0
T26,210,0,11,5
T31,210,0,12,5
T16,210,0,13,5
T10,210,0,14,0
T3A,210,0,15,2
T2D,210,0,16,5
T25,210,0,17,5
T3B,210,0,18,3
T14,210,0,19,3
T9,210,1,20,4
T12,210,0,21,4
T22,210,0,22,5
T23,210,0,23,2
T5E,210,0,24,1
T11,210,1,25,1
T8C,210,0,26,0
T7C,210,0,27,4
T30,210,0,28,2
T10,210,1,29,1
T1C,210,0,30,6
T6B,210,0,31,1
T5A,210,0,32,5
T24,210,0,33,2
T15,210,0,34,2
T9,210,2,35,5
T7D,210,0,36,5
T4C,210,0,37,6
T5F,210,0,38,2
T21,210,0,39,2
T11,210,2,40,2
T4E,210,0,41,0
T5C,210,0,42,7
T20,210,0,43,7
T10,210,2,44,2
T6D,210,0,45,3
T17,210,0,46,7
T1A,210,0,47,4
T6A,210,0,48,0
T18,210,0,49,2
T9,210,3,50,6
T13,210,0,51,2
T2A,210,0,52,2
T4B,210,0,53,5
T28,210,0,54,7
T11,210,3,55,3
T8A,210,0,56,6
T33,210,0,57,7
T5B,210,0,58,6
T10,210,3,59,3
T3C,210,0,60,4
T2C,210,0,61,4
T4F,210,0,62,1
T27,210,0,63,5
T1D,210,0,64,7
T9,210,4,65,7
T6C,210,0,66,2
T1B,210,0,67,5
T8B,210,0,68,7
T4A,210,0,69,4
T11,210,4,70,4
T19,210,0,71,0
T5D,210,0,72,0
T4D,210,0,73,7
T10,210,4,74,4
T6D,211,0,1,4
T5D,211,0,2,1
T9,211,0,3,4
T18,211,0,4,3
T1B,211,0,5,6
T10,211,0,6,1
T20,211,0,7,0
T2C,211,0,8,5
T11,211,0,9,1
T22,211,0,10,6
T24,211,0,11,3
T3D,211,0,12,6
T28,211,0,13,0
T19,211,0,14,1
T23,211,0,15,3
T7A,211,0,16,3
T13,211,0,17,3
T9,211,1,18,5
T1A,211,0,19,5
T5F,211,0,20,3
T10,211,1,21,2
T32,211,0,22,6
T3A,211,0,23,3
T11,211,1,24,2
T2A,211,0,25,3
T15,211,0,26,3
T5A,211,0,27,6
T33,211,0,28,0
T8C,211,0,29,1
T4F,211,0,30,2
T1C,211,0,31,7
T17,211,0,32,0
T9,211,2,33,6
T26,211,0,34,6
T16,211,0,35,6
T10,211,2,36,3
T5C,211,0,37,0
T14,211,0,38,4
T11,211,2,39,3
T25,211,0,40,6
T30,211,0,41,3
T3B,211,0,42,4
T8B,211,0,43,0
T6B,211,0,44,2
T2B,211,0,45,4
T6A,211,0,46,1
T29,211,0,47,3
T9,211,3,48,7
T3C,211,0,49,5
T4B,211,0,50,6
T10,211,3,51,4
T8D,211,0,52,2
T4D,211,0,53,0
T11,211,3,54,4
T1D,211,0,55,0
T5B,211,0,56,7
T8A,211,0,57,7
T27,211,0,58,6
T34,211,0,59,0
T21,211,0,60,3
T2D,211,0,61,6
T7C,211,0,62,5
T9,211,4,63,0
T5E,211,0,64,2
T12,211,0,65,5
T10,211,4,66,5
T4A,211,0,67,5
T6C,211,0,68,3
T11,211,4,69,5
T7B,211,0,70,4
T31,211,0,71,6
T4E,211,0,72,1
T7D,211,0,73,6
T4C,211,0,74,7
T2D,212,0,1,7
T10,212,0,2,2
T3D,212,0,3,7
T9,212,0,4,5
T4C,212,0,5,0
T12,212,0,6,6
T11,212,0,7,2
T3C,212,0,8,6
T31,212,0,9,7
T17,212,0,10,1
T5F,212,0,11,4
T1B,212,0,12,7
T15,212,0,13,4
T4B,212,0,14,7
T21,212,0,15,4
T22,212,0,16,7
T10,212,1,17,3
T3B,212,0,18,5
T9,212,1,19,6
T5B,212,0,20,0
T23,212,0,21,4
T11,212,1,22,3
T2A,212,0,23,4
T4D,212,0,24,1
T24,212,0,25,4
T20,212,0,26,1
T6B,212,0,27,3
T8C,212,0,28,2
T6C,212,0,29,4
T7D,212,0,30,7
T25,212,0,31,7
T10,212,2,32,4
T4E,212,0,33,2
T9,212,2,34,7
T29,212,0,35,4
T19,212,0,36,2
T11,212,2,37,4
T16,212,0,38,7
T30,212,0,39,4
T6D,212,0,40,5
T32,212,0,41,7
T1A,212,0,42,6
T33,212,0,43,1
T7B,212,0,44,5
T8D,212,0,45,3
T6A,212,0,46,2
T10,212,3,47,5
T1C,212,0,48,0
T9,212,3,49,0
T34,212,0,50,1
T1D,212,0,51,1
T11,212,3,52,5
T5A,212,0,53,7
T7A,212,0,54,4
T2C,212,0,55,6
T26,212,0,56,7
T13,212,0,57,4
T28,212,0,58,1
T2B,212,0,59,5
T5C,212,0,60,1
T4F,212,0,61,3
T10,212,4,62,6
T8A,212,0,63,0
T9,212,4,64,1
T4A,212,0,65,6
T18,212,0,66,4
T11,212,4,67,6
T5E,212,0,68,3
T8B,212,0,69,1
T7C,212,0,70,6
T14,212,0,71,5
T5D,212,0,72,2
T27,212,0,73,7
T3A,212,0,74,4
T2D,213,0,1,0
T12,213,0,2,7
T2C,213,0,3,7
T5C,213,0,4,2
T1C,213,0,5,1
T22,213,0,6,0
T1D,213,0,7,2
T2B,213,0,8,6
T34,213,0,9,2
T9,213,0,10,6
T17,213,0,11,2
T10,213,0,12,3
T11,213,0,13,3
T7A,213,0,14,5
T28,213,0,15,2
T5D,213,0,16,3
T31,213,0,17,0
T6C,213,0,18,5
T5A,213,0,19,0
T7D,213,0,20,0
T30,213,0,21,5
T23,213,0,22,5
