id,trial_id,session_id,goal_choice,reaction_time_ms,trial_name,global_trial_name,repeat_instance_index,symmetry_transform
940,16380,463,red,4619.0,L23,L23,0,2
1008,16548,464,red,2051.0,L23,L23,0,3
1216,17066,469,green,875.0,L23,L23,0,0
1191,17017,471,green,2201.0,L23,L23,0,2
1899,18654,472,green,709.0,L23,L23,0,3
1091,16769,474,red,1716.0,L23,L23,0,5
1103,16795,478,red,3271.0,L23,L23,0,1
1737,18282,480,green,1307.0,L23,L23,0,3
1739,18289,481,red,1026.0,L23,L23,0,4
1377,17476,482,red,1077.0,L23,L23,0,5
1784,18386,483,green,1777.0,L23,L23,0,6
1821,18470,485,red,1936.0,L23,L23,0,0
1411,17557,486,green,2241.0,L23,L23,0,1
1831,18482,487,red,2124.0,L23,L23,0,2
1874,18606,488,red,1013.0,L23,L23,0,3
1664,18116,489,red,1543.0,L23,L23,0,4
1501,17777,491,red,535.0,L23,L23,0,6
1761,18344,497,green,622.0,L23,L23,0,4
2100,19148,501,green,858.0,L23,L23,0,0
1747,18304,502,red,1485.0,L23,L23,0,1
1790,18410,505,green,1613.0,L23,L23,0,4
2129,19214,508,red,950.0,L23,L23,0,7
2049,19019,509,red,1574.0,L23,L23,0,0
2287,19584,510,green,1133.0,L23,L23,0,1
2210,19389,511,red,1175.0,L23,L23,0,2
2416,19900,515,green,1354.0,L23,L23,0,6
2423,19914,516,green,1355.0,L23,L23,0,6
2514,20147,517,red,2595.0,L23,L23,0,2
2555,20233,519,red,2037.0,L23,L23,0,2
2634,20407,521,green,1358.0,L23,L23,0,5
2647,20439,522,red,821.0,L23,L23,0,6
2704,20582,524,red,1065.0,L23,L23,0,0
2895,21033,526,green,2743.0,L23,L23,0,1
2771,20751,531,green,2459.0,L23,L23,0,3
2899,21045,532,red,1304.0,L23,L23,0,4
2803,20818,533,green,2033.0,L23,L23,0,5
2798,20808,534,red,1490.0,L23,L23,0,6
2978,21228,537,green,3212.0,L23,L23,0,1
3105,21549,538,red,1636.0,L23,L23,0,2
3179,21718,539,red,981.0,L23,L23,0,3
3104,21543,540,red,2867.0,L23,L23,0,4
3193,21754,541,red,1451.0,L23,L23,0,5
3204,21784,542,red,3493.0,L23,L23,0,3
3235,21850,544,green,2540.0,L23,L23,0,6
3410,22268,546,red,3373.0,L23,L23,0,0
3395,22233,548,red,3103.0,L23,L23,0,2
3474,22419,550,red,1888.0,L23,L23,0,4
3613,22744,552,red,1393.0,L23,L23,0,6
3621,22768,554,green,644.0,L23,L23,0,0
